affiliation,country
AIT Austrian Institute of Technology GmbH,Austria
Academia Sinica,Taiwan
Airbnb,USA
Aix Marseille Université,France
Ajou University,Republic of Korea
Albert-Ludwigs-Universität Freiburg,Germany
Alexandria University,Egypt
Allama Iqbal Open University,Pakistan
Alzahra University,Iran
Amazon Inc.,USA
Amirkabir University of Technology (Polytechnic of Tehran),Iran
Amity University,India
Anhui Normal University,China
Anhui University,China
Argonne National Laboratory,USA
Athens University of Applied Sciences,Greece
Autonomous University of Barcelona,Spain
Avignon University,France
Azarbaijan Shahid Madani University,Iran
Bar Ilan University,Israel
Barry University,USA
Beijing Institute of Technology,China
Beijing Jiaotong University,China
Beijing University of Chemical Technology,China
Beijing University of Civil Engineering and Architecture,China
Beijing University of Posts and Telecommunications,China
Beijing University of Technology,China
Belarusian State University of Informatics and Radioelectronics,Belarus
Ben Gurion University of the Negev,Israel
Bennett University,India
Bentley University,United States
Bergische University Wuppertal,Germany
Boise State University,Boise
Brandon University,Canada
Budapest University of Technology and Economics,Hungary
Burnet Institute,Australia
CERN,Switzerland
CNRS,France
CSIRO,Australia
Ca' Foscari University of Venice,Italy
Cairo University,Egypt
California State University Channel Islands,United States
California State University at Los Angeles,USA
Campus Universitário de Santiago,Portugal
Care and Public Health Research Institute (CAPHRI),The Netherlands
Case Western Reserve University,USA
Catholic University,Italy
Catholic University and Complexity Lab in Economics,Italy
Catholic University of Rome,Italy
Central European University,Hungary
Central South University,China
Central University of Finance and Economics,China
Changsha University of Science and Technology,China
Changshu Institute of Technology,China
Chaoyang University of Technology,Taiwan
China University of Petroleum (Huadong),China
Chinese Academic of Sciences,China
Chinese Academy of Science,China
Chongqing University,China
Chongqing University of Posts and Telecommunications,China
Chongqing University of Technology,China
Christ University,India
Christian-Albrechts-University,Germany
Chung Yuan Christian University,Taiwan
Chuo University,Japan
City University London,UK
City University of New York,United States
Claremont Graduate University,USA
Clausthal University of Technology,Germany
Copenhagen Business School,Denmark
Corvinus University of Budapest,Hungary
Coventry University,U.K.
Cranfield University,U.K.
Creighton University,United States
Curtin University,Australia
Daffodil International University (DIU),Bangladesh
Dakota State University,USA
Dalian Maritime University,China
Dalian Minzu University,China
Dalian University of Technology,China
Deakin University,Australia
Delft University of Technology,Sweden
Denison University,United States
Department of Sociology & Inter-University Center for Social Science Theory and Methodology,The Netherlands
Dongbei University of Finance & Economics,China
Donghua University,China
Duquesne University,United States
ETH Zürich,Switzerland
East Carolina University,USA
Edinboro University,USA
Edinburgh Napier University,U.K.
Eindhoven University of Technology,The Netherlands
Eotvos Lorand University Faculty of Social Sciences,Hungary
Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security,Mexico
Erasmus University Rotterdam,the Netherlands
Escuela Universitaria de Estadística,Spain
Eötvös Loránd University,Hungary
Federal University of Amazonas,Brazil
Federal University of Bahia,Federal University of Bahia
Federal University of Minas Gerais,Brazil
Federal University of Rio de Janeiro,Brazil
Federation University Australia,Australia
Ferdowsi University of Mashhad,Iran
Flinders University,Australia
Florida International University,USA
Fontys University of Applied Sciences,The Netherlands
Free University,Netherlands
Free University Berlin,Germany
Fujian Normal University,China
Fujian University of Technology,China
Fukuoka Institute of Technology,Japan
Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,USA
Fuzhou University,China
GESIS - Leibniz Institute for the Social Sciences,Germany
GLA University,India
Gazi University,Turkey
Georg-August-Universitaet,Germany
Georgia State University,USA
Georgia State University Atlanta,USA
Ghent University,Belgium
Google,USA
Graz University of Technology 8 Know-Center,Austria
Griffith University,Australia
Guangdong University of Foreign Studies,China
Guangdong University of Technology,China
Guangzhou University,China
Guilin University of Electronic Technology,China
Gwangju Institute of Science and Technology (GIST),South Korea
HP Labs,USA
Hangzhou Dianzi University,China
Hangzhou Normal University,China
Hanoi University of Science and Technology,Vietnam
Hawassa University,Ethiopia
Hebei Normal University,China
Hefei University of Technology,China
Helsinki University of Technology,Finland
Henan Polytechnic University,China
Henan University of Economics and Law,China
Hiroshima University,Japan
Hofstra University,USA
Hokkaido University,Japan
Hosei University,Japan
Huazhong University of Science and Technology,China
Humboldt-Universität zu Berlin,Germany
Hungarian Academy of Sciences,Hungary
Hungary and Eötvös Loránd University of Sciences,Hungary
IBM,USA
ICREA-Universitat Pompeu Fabra,Spain
IMT School for Advanced Studies,Italy
ISPA- Instituto Universitário de Ciências Psicológicas,Portugal
IT University Copenhagen,Copenhagen Denmark
Idiap Research Institute,Switzerland
Illinois Institute of Technology,USA
Indian Institute of Engineering Science and Technology,India
Indian Institute of Information Technology,India
Indian Institute of Management,India
Indian Institute of Science,India
Indian Institute of Space Science and Technology,India
Indian Institute of Technology Patna,India
Indian Statistical Institute,India
Indraprastha Institute of Information Technology Delhi,India
Inner Mongolia University,CN
Institut für Statistik Ludwigs-Maximilians-Universität München,Germany
Institute for Service Marketing and Tourism,Austria
Institute for Statistics and Mathematics,Austria
Institute of Automation,China
Institute of High Performance Computing,Singapore
Institute of Informatics and Telematics of CNR,Italy
