George Cybenko,"Thayer School of Engineering Dartmouth College, Hanover, NH, USA"
Eunice E. Santos,"Department of Computer Science, University of Texas, El Paso, TX, USA"
Vikram Krishnamurthy,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, Canada"
H. Vincent Poor,"Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"
Erez Shmueli,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Vivek K. Singh,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Bruno Lepri,"Fondazione Bruno Kessler, Trento, Italy"
Alex Pentland,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Joshua D. Guzman,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Richard F. Deckro,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Matthew J. Robbins,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
James F. Morris,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Nicholas A. Ballester,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Mingming Chen,"Department of Computer Science, Tsinghua University, Beijing, China"
Konstantin Kuzmin,"Rennselaer Polytechnic Institute, Troy, NY, USA"
Boleslaw K. Szymanski,"Rennselaer Polytechnic Institute, Troy, NY, USA"
Edoardo Serra,"University of Maryland Institute for Advanced Computer Studies (UMIACS), College Park, MD, USA"
V. S. Subrahmanian,"Computer Science Department, University of Maryland, College Park, MD, USA"
Vasanthan Raghavan,"Qualcomm Flarion Technologies, Inc., Bridgewater, NJ, USA"
Greg Ver Steeg,"Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA"
Aram Galstyan,"Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA"
Alexander G. Tartakovsky,"Department of Statistics, University of Connecticut, Storrs, CT, USA"
Claudia Wagner,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany"
Philipp Singer,"Graz University of Technology, Graz, Austria"
Markus Strohmaier,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany"
Bernardo A. Huberman,"HP Labs, Palo Alto, CA, USA"
Yaniv Altshuler,"Athena Wisdom, Ramat Yishai, Israel"
Erez Shmueli,"Department of Industrial Engineering, Tel-Aviv University, Tel Aviv, Israel"
Guy Zyskind,"MIT Media Lab, Cambridge, MA, USA"
Oren Lederman,"MIT Media Lab, Cambridge, MA, USA"
Nuria Oliver,"Telefonica Research, Barcelona, Spain"
Alex Pentland,"MIT Media Lab, Cambridge, MA, USA"
Amos Azaria,"Machine Learning Department, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA"
Ariella Richardson,"Department of Industrial Engineering, Lev Academic Center, Jerusalem, Israel"
Sarit Kraus,"Computer Science Department, Bar Ilan University, Ramat Gan, Israel"
V. S. Subrahmanian,"University of Maryland Institute for Advanced Computer Studies (UMIACS), University of Maryland, College Park, MD, USA"
Jure Leskovec,"Department of Computer Science, Stanford Univeristy, Stanford, CA, USA"
Eric Horvitz,"Microsoft Research, Redmond, WA, USA"
Vikram Krishnamurthy,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver,, Canada"
William Hoiles,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver,, Canada"
Les Servi,"The MITRE Corporation, Bedford, MA, USA"
Sara Beth Elson,"The MITRE Corporation, Bedford, MA, USA"
Md. Imrul Kayes,"Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA"
Jacob Chakareski,"Department of Electrical and Computer Engineering, University of Alabama, Tuscaloosa, AL, USA"
Noseong Park,"Department of Computer Science, The University of Maryland, College Park, MD, USA"
Edoardo Serra,"Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA"
Tom Snitch,"The University of Maryland, College Park, MD, USA"
V. S. Subrahmanian,"Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA"
Mianxiong Dong,"Muroran Institute of Technology, Hokkaido, Japan"
Rajiv Ranjan,"School of Computing Science, Newcastle University, Newcastle upon Tyne, U.K."
Albert Y. Zomaya,"Centre for Distributed and High Performance Computing, School of Information Technologies, The University of Sydney, Sydney, N.S.W., Australia"
Man Lin,"Department of Computer Science, St. Francis Xavier University, Antigonish, Canada"
Kuan Zhang,"Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada"
Xiaohui Liang,"Department of Computer Science, University of Massachusetts at Boston, Boston, MA, USA"
Rongxing Lu,"School of Electrical and Electronics Engineering, Nanyang Technological University, Singapore"
Xuemin Shen,"Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada"
Li Lu 0001,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China"
