"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Gianluca Lax,Mediterranea University of Reggio Calabria,it,Antonia Russo,Mediterranea University of Reggio Calabria,it,2021,tcss
George Karabatis,University of Maryland - College Park,us,Zainab Al Latifah,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Ahmed AlEroud,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Iyad Alazzam,Yarmouk University,jo,2020,tcss
Sibel Adali,Rensselaer Polytechnic Institute,us,John O'Donovan,University of California - Santa Barbara,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Jin-Hee Cho,Virginia Polytechnic Institute and State University,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Benjamin D. Horne,Rensselaer Polytechnic Institute,us,2019,tsc
Antônio Carlos da Rocha Costa,Federal University of Rio Grande,br,Helder Coelho,University of Lisbon,pt,2019,tcss
Munindar P. Singh,North Carolina State University,us,Arwen H. DeCostanza,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Anup K. Kalia,IBM,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Norbou Buchler,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Chaitanya Shivade,Amazon Inc.,us,2021,tcss
Munindar P. Singh,North Carolina State University,us,Karthik Sheshadri,North Carolina State University,us,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Mohsen Guizani,Qatar University,qa,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Weihong Han,Guangzhou University,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zizhong Huang,National University of Defense Technology,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zhihong Tian,Guangzhou University,cn,2021,tcss
Haifeng Shen,Flinders University,au,Yuqing Mao,Nanjing University,cn,2016,tcss
Srinath Srinivasa,International Institute of Information Technology,in,Raksha Pavagada Subbanarasimha,International Institute of Information Technology,in,2020,tcss
Srinath Srinivasa,International Institute of Information Technology,in,Sridhar Mandyam,International Institute of Information Technology,in,2020,tcss
Vasant G. Honavar,Pennsylvania State University,us,John Yen,Pennsylvania State University,us,2016,tcss
Vasant G. Honavar,Pennsylvania State University,us,Ngot Bui,Pennsylvania State University,us,2016,tcss
Fabio Casati,University of Trento,ru,Jorge Saldivar,Catholic University,py,2019,tsc
Fabio Casati,University of Trento,ru,Florian Daniel,Politecnico di Milano,it,2019,tsc
Fabio Casati,University of Trento,ru,Luca Cernuzzi,Catholic University,py,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Alessandro Checco,University of Sheffield,uk,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Gianluca Demartini,University of Queensland,us,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Djellel Eddine Difallah,York University,ca,2019,tsc
Paola Velardi,Sapienza University of Rome,it,Giovanni Stilo,University of L'Aquila,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Mauro Gatti,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Ajay Mehra,University of Kent,us,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Giorgia Di Tommaso,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Michela Iannotta,Sapienza University of Rome,it,2020,socnet
Mounir Frikha,University of Carthage,tn,Hakim Ghazzai,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Yehia Massoud,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Aymen Hamrouni,University of Carthage,tn,2020,tcss
Barbara Guidi,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2019,tcss
Barbara Guidi,University of Pisa,it,Andrea Michienzi,University of Pisa,it,2021,tcss
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2021,tcss
Laura Ricci,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
