"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Evaggelia Pitoura,University of Ioannina,gr,Paraskevas Tsantarliotis,University of Ioannina,gr,2017,snam
Evaggelia Pitoura,University of Ioannina,gr,Panayiotis Tsaparas,University of Ioannina,gr,2017,snam
Gianluca Lax,Mediterranea University of Reggio Calabria,it,Antonia Russo,Mediterranea University of Reggio Calabria,it,2021,tcss
George Karabatis,University of Maryland - College Park,us,Ahmed AlEroud,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Iyad Alazzam,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Zainab Al Latifah,Yarmouk University,jo,2020,tcss
Sibel Adali,Rensselaer Polytechnic Institute,us,Benjamin D. Horne,Rensselaer Polytechnic Institute,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,John O'Donovan,University of California - Santa Barbara,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Jin-Hee Cho,Virginia Polytechnic Institute and State University,us,2019,tsc
Matthias Jarke,RWTH Aachen,us,Ralf Klamma,RWTH Aachen,us,2011,snam
Matthias Jarke,RWTH Aachen,us,Manh Cuong Pham,RWTH Aachen,us,2011,snam
Antônio Carlos da Rocha Costa,Federal University of Rio Grande,br,Helder Coelho,University of Lisbon,pt,2019,tcss
Munindar P. Singh,North Carolina State University,us,Anup K. Kalia,IBM,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Norbou Buchler,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Arwen H. DeCostanza,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Chaitanya Shivade,Amazon Inc.,us,2021,tcss
Munindar P. Singh,North Carolina State University,us,Karthik Sheshadri,North Carolina State University,us,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zizhong Huang,National University of Defense Technology,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zhihong Tian,Guangzhou University,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Mohsen Guizani,Qatar University,qa,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Weihong Han,Guangzhou University,cn,2021,tcss
Haifeng Shen,Flinders University,au,Yuqing Mao,Nanjing University,cn,2016,tcss
Anupam Joshi,University of Maryland - College Park,us,Ponnurangam Kumaraguru,Indraprastha Institute of Information Technology - Delhi (IIITD),in,2016,snam
