"name","dept","area","count","adjustedcount","year"
A. Ben Hamza,Concordia University,snam,1.0,0.5,2021
A. Criado-Alonso,King Juan Carlos University,snam,1.0,0.2,2020
A. P. Siva Kumar,NTUA,snam,1.0,0.33333,2021
A. Pavan 0001,Iowa State University,snam,1.0,0.16667,2021
A. Suruliandi,Manonmaniam Sundaranar University,tcss,2.0,0.58333,2021
A. V. Ramana,GMR Institute of Technology Rajam,snam,1.0,0.33333,2021
Aashish Khubchandani,York University,snam,1.0,0.2,2021
Aayush Aggarwal,IIIT Delhi,tcss,1.0,0.33333,2020
Abdallah Tubaishat,Zayed University,tcss,1.0,0.125,2021
Abdel-Fattah Attia,Kafrelsheikh University,tcss,1.0,0.25,2020
Abdelhadi Abta,Cadi Ayyad University,snam,1.0,0.2,2020
Abdelmajid Ben Hamadou,University of Sfax,snam,1.0,0.25,2020
Abdelmalek Habi,CNRS,snam,1.0,0.33333,2019
Abderrahim Benslimane,University of Avignon,tcss,1.0,0.055556,2021
Abderrahim El Qadi,Mohammed V University,snam,1.0,0.25,2020
Abdol-Hossein Esfahanian,Michigan State University,snam,1.0,0.2,2016
Abdul Basid,Universitas Islam Negeri Maulana Malik Ibrahim Malang,snam,1.0,0.33333,2021
Abdulaziz Alblwi,Taibah University,snam,1.0,0.2,2021
Abdulhameed Alelaiwi,King Saud University,tcss,1.0,0.125,2015
Abdulhameed Alelaiwi,King Saud University,tcss,1.0,0.14286,2016
Abdullah Abusorrah,King Abdulaziz University,tcss,2.0,0.4,2020
Abdullah Sarhan,University of Calgary,snam,1.0,0.16667,2014
Abdulrauf Gidado,University of Windsor,snam,1.0,0.33333,2021
Abdur Rahim Mohammad Forkan,Swinburne University of Technology,tsc,1.0,0.25,2020
Abeed Sarker,University of Pennsylvania,snam,1.0,1.0,2017
Abeer ElKorany,Cairo University,snam,1.0,0.33333,2016
Abhijit Chakraborty,University of Hyogo,socnet,1.0,0.16667,2019
Abhijit Majumdar,University of Texas at San Antonio,tcss,1.0,0.16667,2020
Abhijnan Chakraborty,Max Planck Institute,tcss,1.0,0.25,2019
Abhinav Bhatnagar,Arizona State University,snam,1.0,0.25,2016
Abhishek Chakraborty 0002,IIT Madras,tcss,1.0,0.25,2020
Abigail Paradise,Ben-Gurion University of the Negev,tcss,1.0,0.14286,2017
Abolfazl Yaghmaei,University of Tehran,tcss,1.0,0.25,2021
Aboul Ella Hassanien,Cairo University,snam,1.0,0.33333,2014
Aboul Ella Hassanien,Cairo University,tcss,1.0,0.25,2020
Abubakr H. Ombabi,Sudan University of Science and Technology,snam,1.0,0.33333,2020
Acar Tamersoy,Georgia Institute of Technology,snam,1.0,0.14286,2014
Achim Rettinger,Karlsruhe Institute of Technology,snam,1.0,0.25,2012
Achla Marathe,Virginia Tech,snam,1.0,0.16667,2016
Adam Badawy,USC Information Sciences Institute,snam,1.0,0.25,2019
Adam Boessen,University of Missouri,socnet,1.0,0.33333,2012
Adam Boessen,University of Missouri,socnet,1.0,0.2,2013
Adam Boessen,University of Missouri,socnet,1.0,0.2,2017
Adam Domurad,University of Waterloo,snam,1.0,0.25,2017
Adam Edwards,Cardiff University,snam,1.0,0.11111,2014
Adam Goodie,University of Georgia,socnet,1.0,0.5,2018
Adam R. Roth,Indiana University,socnet,1.0,0.2,2021
Adam Wierzbicki,Polish-Japanese Institute of Information Technology,snam,1.0,0.25,2013
Adama S. Marra,The Research Institute for Development,socnet,1.0,0.25,2012
Adel M. Alimi,University of Sfax,snam,1.0,0.33333,2020
Adele A. Rescigno,University of Salerno,snam,1.0,0.33333,2016
Adham Beykikhoshk,Deaking University,snam,1.0,0.2,2015
Adheesh Gokhale,Stony Brook University,snam,1.0,0.2,2015
Aditya S. Khanna,University of Chicago,socnet,1.0,0.2,2020
Adrian Avram,Arizona State University,snam,1.0,0.25,2021
Adrian E. Raftery,University of Washington,socnet,1.0,0.25,2009
Adriana Iamnitchi,University of South Florida,snam,1.0,0.2,2013
Adriana Iamnitchi,University of South Florida,snam,1.0,0.25,2021
Adriana Iamnitchi,University of South Florida,tcss,1.0,0.25,2019
Adriana P. A. van Beek,NIVEL: Netherlands Institute for Health Services Research,socnet,1.0,0.2,2013
Adriana S. Vivacqua,UFRJ,tsc,1.0,0.2,2018
