institution,region,countryabbrv
AIT Austrian Institute of Technology GmbH,,at
Academia Sinica,,tw
Airbnb,,us
Aix Marseille Université,,fr
Ajou University,,kr
Albert-Ludwigs-Universität Freiburg,,de
Alexandria University,,eg
Allama Iqbal Open University,,pk
Alzahra University,,ir
Amazon Inc.,,us
Amirkabir University of Technology (Polytechnic of Tehran),,ir
Amity University,,in
Anhui Normal University,,cn
Anhui University,,cn
Argonne National Laboratory,,us
Athens University of Applied Sciences,,gr
Autonomous University of Barcelona,,es
Avignon University,,fr
Azarbaijan Shahid Madani University,,ir
Bar Ilan University,,il
Barry University,,us
Beijing Institute of Technology,,cn
Beijing Jiaotong University,,cn
Beijing University of Chemical Technology,,cn
Beijing University of Civil Engineering and Architecture,,cn
Beijing University of Posts and Telecommunications,,cn
Beijing University of Technology,,cn
Belarusian State University of Informatics and Radioelectronics,,by
Ben Gurion University of the Negev,,il
Bennett University,,in
Bentley University,,us
Bergische University Wuppertal,,de
Boise State University,,us
Brandon University,,ca
Budapest University of Technology and Economics,,hu
Burnet Institute,,au
CERN,,ch
CNRS,,fr
CSIRO,,au
Ca' Foscari University of Venice,,it
Cairo University,,eg
California State University Channel Islands,,us
California State University at Los Angeles,,us
Campus Universitário de Santiago,,pt
Care and Public Health Research Institute (CAPHRI),,nl
Case Western Reserve University,,us
Catholic University,,it
Catholic University and Complexity Lab in Economics,,it
Catholic University of Rome,,it
Central European University,,hu
Central South University,,cn
Central University of Finance and Economics,,cn
Changsha University of Science and Technology,,cn
Changshu Institute of Technology,,cn
Chaoyang University of Technology,,tw
China University of Petroleum (Huadong),,cn
Chinese Academic of Sciences,,cn
Chinese Academy of Science,,cn
Chongqing University,,cn
Chongqing University of Posts and Telecommunications,,cn
Chongqing University of Technology,,cn
Christ University,,in
Christian-Albrechts-University,,de
Chung Yuan Christian University,,tw
Chuo University,,jp
City University London,,uk
City University of New York,,us
Claremont Graduate University,,us
Clausthal University of Technology,,de
Copenhagen Business School,,dk
Corvinus University of Budapest,,hu
Coventry University,,uk
