name,affiliation,homepage,scholarid
Bin Hu 0001,Lanzhou University,,
Li-Chun Wang 0001,National Chiao Tung University,,
Dusit Niyato,Nanyang Technological University,,
Mohammad Javad Yazdanpanah,University of Tehran,,
Guangmo Tong,University of Delaware,,
Zheng Dong 0002,Wayne State University,,
Xiang Li 0016,Santa Clara University,,
Douglas Adams 0003,University of Arkansas,,
Minghao Zhao 0002,NetEase,,
Andres Felipe Zambrano,Universidad de Los Andes,,
Gilberto Díaz-García,Universidad de Los Andes,,
Luis Felipe Giraldo,Universidad de Los Andes,,
Hugo Gonzalez Villasanti,Ohio State University,,
Monica Tatiana Perdomo,Universidad de Ibagué,,
Jesús María Godoy Bejarano,Universidad de Ibagué,,
Dan Zhang 0001,Zhejiang University of Technology,,
Weishan Zhang,Aarhus University,,
Lu Liu 0001,University of Leicester,,
Vincenzo Piuri,Università degli Studi di Milano,,
Ebin Deni Raj,Indian Institute of information Technology kottayam,,
Gautam Srivastava,Brandon University,,
Shuo Yu,Dalian University of Technology,,
Feng Xia 0001,Federation University Australia,,
Tao Tang 0007,University of Electronic Science and Technology of China,,
Xiaoran Yan,Indiana University Bloomington,,
Ivan Lee,University of South Australia,,
Sijian Lv,Hunan University of Technology and Business,,
Jiahui Chen 0003,Hunan University of Technology and Business,,
Feng Chen 0001,University of Texas at Dallas,,
Jianxin Li 0002,Beihang University,,
Kevin I-Kai Wang,The University of Auckland,,
Laurence T. Yang,St. Francis Xavier University,,
Guangjie Han,Hohai University,,
Lei Shu 0001,Nanjing Agricultural University,,
Yan Jia 0001,National University of Defense Technology,,
Mohsen Guizani,Qatar University,,
Xin Liu 0022,China University of Petroleum (East China),,
Shuai Cao,Anhui University,,
Jiehan Zhou,University of Oulu,,
Shaoxiong Ji,Aalto University,,
Shirui Pan,Monash University,,
Xue Li 0001,University of Queensland,,
Erik Cambria,Nanyang Technological University,,
Guodong Long,University of Technology Sydney,,
Zi Huang,University of Queensland,,
Lianyong Qi,Qufu Normal University,,
Weimin Li,Shanghai University,,
Victor S. Sheng,Texas Tech University,,
Surya Nepal,CSIRO,,
Jun Feng 0007,Huazhong University of Science and Technology,,
Jianfeng Lu 0002,Zhejiang Normal University,,
Zhao Zhang 0002,Zhejiang Normal University,,
Vijay Kumar Mago,Lakehead University,,
Fei-Yue Wang 0001,Chinese Academy of Sciences,,
Xiaolong Zheng 0001,Chinese Academy of Sciences,,
Qingpeng Zhang,City University of Hong Kong,,
Huaiguang Jiang,National Renewable Energy Laboratory,,
Pouria Babvey,Stevens Institute of Technology,,
Jose Emmanuel Ramirez-Marquez,Stevens Institute of Technology,,
Bo Zhang 0004,Shanghai Normal University,,
Aparna Sankaran Srinath,Boise State University,,
Gaby G. Dagher,Boise State University,,
Min Long,Boise State University,,
Yunpeng Xiao,Chongqing University of Posts and Telecommunications,,
Nemi Chandra Rathore,Central University of South Bihar,,
Somanath Tripathy,Indian Institute of Technology Patna,,
Andrea Michienzi,University of Pisa,,
Laura Ricci,University of Pisa,,
Konstantinos Tsitseklis,National Technical University of Athens,,
Vasileios Karyotis,Ionian University,,
Antonia Russo,Università degli Studi Mediterranea di Reggio Calabria,,
Qing Yang 0016,Tongji University,,
Cheng Wang 0001,Tongji University,,
Changjun Jiang,Tongji University,,
Peter Willett 0001,University of Connecticut,,
Yuqi Fan,Hefei University of Technology,,
Weili Wu,The University of Texas at Dallas,,
Ding-Zhu Du,The University of Texas at Dallas,,
Jianrong Tao,NetEase FUXI AI Lab,,
Gang Pan 0001,Zhejiang University,,
Alexander V. Outkin,Sandia National Laboratories,,
Chelsea C. White III,Georgia Institute of Technology,,
Jiangtao Wang,Lancaster University,,
Lei Cui,Deakin University,,
Wenjie Ruan,University of Exeter,,
Shui Yu,University Of Technology Sydney,,
Xiaolong Xu 0001,Nanjing University of Information Science and Technology,,
Debasis Das 0001, Indian Institute of Technology Jodhpur,,
Zhen Wang 0013,Hangzhou Dianzi University,,
Cheng Guo 0001,Dalian University of Technology,,
Weishan Zhang,Aarhus University,,
Rakesh Nagi,University of Illinois at Urbana-Champaign,,
S. P. Raja,Manonmaniam Sundaranar University,,
Maximilian Vierlboeck,Knorr-Bremse,,
Roshanak Nilchiani,Stevens Institute of Technology,,
Bo Liu 0024,Beijing University of Technology,,
Jianqiang Li 0002,Beijing University of Technology,,
Yong Li 0037,Beijing University of Technology,,
MengChu Zhou,New Jersey Institute of Technolgy,,
Brijesh Singh,Indian Institute of Technology Guwahati,,
Pinaki Mitra,Indian Institute of Technology Guwahati,,
Fred Morstatter,University of Southern California,,
Greg Ver Steeg,University of Southern California,,
Aram Galstyan,University of Southern California,,
Yu Gu 0003,University of Science and Technology of China,,
Mianxiong Dong,Muroran Institute of Technology,,
Xiang Zhang 0011,Hefei University of Technology,,
