James Evans,1,"Santa Fe Institute, Santa Fe, NM, USA"
Charlie Catlett,0,Argonne National Laboratory
Peter H. Beckman,0,Argonne National Laboratory
Nicola J. Ferrier,0,Argonne National Laboratory
Howard C. Nusbaum,0,"University of Chicago, Chicago, IL, USA"
Michael E. Papka,0,Argonne National Laboratory
Marc G. Berman,0,"University of Chicago, Chicago, IL, USA"
Rajesh Sankaran,0,Argonne National Laboratory
Yu-Sung Su,0,"Tsinghua University, Beijing, China"
Yanqin Ruan,0,"Tsinghua University, Beijing, China"
Siyu Sun,0,"Tsinghua University, Beijing, China"
Yu-Tzung Chang,0,NTU
Xin Gao,1,"Tsinghua University, Beijing, China"
Jar-Der Luo,0,"Tsinghua University, Beijing, China"
Kunhao Yang,0,"Graduate School of Arts and Sciences, University of Tokyo, Tokyo, Japan"
Xiaoming Fu 0001,0,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Loring Liu,0,"Tencent Computer System Co. Ltd, Shenzhen, China"
Weiwei Gu,0,"Information Science and Technology, Beijing University of Chemical Technology, Beijing, China"
Kirill Martynov,0,Technische Universität München (TUM)
Kiran Garimella,0,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"
Robert West 0001,0,"EPFL, Lausanne, Switzerland"
Alex Pentland,0,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"
Nick Rogers,0,"Stony Brook University, Stony Brook, NY, USA"
Jason J. Jones,0,"Stony Brook University, Stony Brook, NY, USA"
Philip D. Waggoner,0,"University of Chicago, Chicago, IL, USA,Columbia University, New York, NY, USA"
Hong Xiong,0,"School of Systems Science, Beijing Normal University, Beijing, China"
Ying Fan,1,"School of Systems Science, Beijing Normal University, Beijing, China"
Weiwei Gu,0,"Beijing Normal University, Beijing, China"
Fei Gao,1,"School of Systems Science, Beijing Normal University, Beijing, China"
Ruiqi Li,0,"College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China"
Jiang Zhang,1,"School of Systems Science, Beijing Normal University, Beijing, China"
Yihan Ma,0,"School of Computer Science, Fudan University, Shanghai, China"
Hua Sun,1,"School of Computer Science, Fudan University, Shanghai, China"
Yang Chen 0001,0,"School of Computer Science, Fudan University, Shanghai, China"
Jiayun Zhang,0,"School of Computer Science, Fudan University, Shanghai, China"
Yang Xu 0010,0,"School of Computer Science, Fudan University, Shanghai, China"
Xin Wang,1,"School of Computer Science, Fudan University, Shanghai, China"
Pan Hui 0001,0,"University of Helsinki, Helsinki, Finland,Hong Kong University of Science and Technology, Hong Kong, China"
Shichang Ding,0,"State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China"
Xin Gao,1,"Tsinghua University, Beijing, China"
Yufan Dong,0,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Yiwei Tong,0,"Shanghai Hejin Information Technology Company, Shanghai, China"
Xiaoming Fu 0001,0,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Lu Hong,0,"Loyola University Chicago, Chicago, IL, USA"
P. J. Lamberson,0,"University of California - Los Angeles (UCLA), Los Angeles, CA, USA"
Scott E. Page,0,"Ross Business School, University of Michigan, Ann Arbor, MI, USA"
Huimin Chen,1,"School of Journalism and Communication, Tsinghua University, Beijing, China"
Cheng Yang 0002,0,"School of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China"
Xuanming Zhang,0,"Tsinghua University, Beijing, China"
Zhiyuan Liu 0001,0,"Tsinghua University, Beijing, China"
Maosong Sun,1,"Tsinghua University, Beijing, China"
Jianbin Jin,0,"School of Journalism and Communication, Tsinghua University, Beijing, China"
Philip D. Waggoner,0,"Institute for Social and Economic Research and Policy, Columbia University, New York City, NY, USA"
Robert Y. Shapiro,0,"Columbia University, New York City, NY, USA"
Samuel Frederick,0,"Columbia University, New York City, NY, USA"
Ming Gong,1,"Columbia University, New York City, NY, USA"
Chenting Jiang,0,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Anthony D'Arienzo,0,"University of Illinois at Urbana-Champaign, Champaign, IL, USA"
Weihua Li,1,"School of Engineering, Computer and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand"
Shiqing Wu,0,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Quan Bai,0,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Xupin Zhang,0,"Warner School of Education and Human Development, University of Rochester, Rochester, NY, USA"
Hanjia Lyu,0,"Goergen Institute for Data Science, University of Rochester, Rochester, NY, USA"
Jiebo Luo,0,"University of Rochester, Rochester, NY, USA"
Guodong Ju,0,"London School of Economics and Political Science, London, UK"
Jiankun Liu,0,"Harbin Engineering University, Harbin, China"
Guangye He,0,"Nanjing University, Nanjing, China"
Xinyi Zhang,1,"Business School, Beijing Language and Culture University, Beijing, China"
Fei Yan,1,"Tsinghua University, Beijing, China"
