Alvin W. Wolfe,"Department of Anthropology, University of South Florida, Tampa, USA"
John Scott,"University of Plymouth, Plymouth, UK"
Devan Rosen,"Department of Speech, University of Hawaii, Honolulu, USA"
Jang-Hyun Kim 0001,"Department of Speech, University of Hawaii, Honolulu, USA"
Dalhia Mani,"HEC Paris, Jouy en Josas, France"
David Knoke,"University of Minnesota, Minneapolis, USA"
Robert A. Hanneman,"Department of Sociology, University of California, Riverside, USA"
Christian R. Shelton,"Department of Computer Science and Engineering, University of California, Riverside, USA"
Nasrullah Memon,"Department of Computer Science, Global University, Beirut, Lebanon"
Charalampos E. Tsourakakis,"School of Computer Science, Carnegie Mellon University, Pittsburgh, USA"
Petros Drineas,"Department of Computer Science, Rensselaer Polytechnic Institute, Troy, USA"
Eirinaios Michelakis,"EECS University of California, Berkeley, Berkeley, USA"
Ioannis Koutis,"School of Computer Science, Carnegie Mellon University, Pittsburgh, USA"
Frédéric Gilbert 0001,"CNRS UMR5800 LaBRI and INRIA Bordeaux-Sud Ouest, Talence, France"
Paolo Simonetto,"CNRS UMR5800 LaBRI and INRIA Bordeaux-Sud Ouest, Talence, France"
Fabien Jourdan,"INRA, UMR1089, Toulouse, France"
Romain Bourqui,"CNRS UMR5800 LaBRI and INRIA Bordeaux-Sud Ouest, Talence, France"
Troy Raeder,"Department of Computer Science and Engineering, Interdisciplinary Center for Network Science and Applications, University of Notre Dame, Notre Dame, USA"
Hossam Sharara,"Computer Science Department, University of Maryland, College Park, USA"
Lisa Singh,"Computer Science Department, Georgetown University, Washington, USA"
Lise Getoor,"Computer Science Department, University of Maryland, College Park, USA"
Janet Mann,"Biology Department, Georgetown University, Washington, USA"
Claudia Müller-Birn,"Carnegie Mellon University, Pittsburgh, USA"
Benedikt Meuthrath,"Freie Universität Berlin, Berlin, Germany"
Andreas Erber,"University of Potsdam, Potsdam, Germany"
Sebastian Burkhart,"University of Potsdam, Potsdam, Germany"
Anne Baumgraß,"Vienna University of Economics and Business, Vienna, Austria"
Janette Lehmann,"ISI Foundation, Turin, Italy"
Robert Schmidl,"University of Potsdam, Potsdam, Germany"
Ankush Garg,"Department of Computer Science, University of California, Davis, Davis, USA"
Ilham Esslimani,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Armelle Brun,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Anne Boyer,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Muhaimenul Adnan,"Department of Computer Science, University of Calgary, Calgary, Canada"
Mohamad Nagi,"Department of Computing, School of Computing Informatics and Media, University of Bradford, Bradford, UK"
Keivan Kianmehr,"Department of Computer Science, University of Calgary, Calgary, Canada"
Radwan Tahboub,"Department of Electrical and Computer Engineering, Palestine Polytechnic University, Hebron, Palestinian Authority"
Mick J. Ridley,"Department of Computing, School of Computing Informatics and Media, University of Bradford, Bradford, UK"
Michael Kaufmann 0001,"Wilhelm-Schickard-Institute, University of Tübingen, Tübingen, Germany"
Leyla Zhuhadar,"Knowledge Discovery and Web Mining Lab, Department of Computer Engineering and Computer Science, University of Louisville, Louisville, USA"
Olfa Nasraoui,"Knowledge Discovery and Web Mining Lab, Department of Computer Engineering and Computer Science, University of Louisville, Louisville, USA"
Robert Wyatt,"The Office of Distance Learning, Division of Extended Learning and Outreach, Western Kentucky University, Bowling Green, USA"
Mehmet Kayaalp 0001,"Department of Computer Engineering, TOBB Economics and Technology University, Ankara, Turkey"
Tansel Özyer,"Department of Computer Engineering, TOBB Economics and Technology University, Ankara, Turkey"
Sibel Tariyan Özyer,"Department of Computer Engineering, Çankaya University, Ankara, Turkey"
Mohamed Fazeen,"Department of Computer Science and Engineering, College of Engineering, University of North Texas, Denton, USA"
Ram Dantu,"Department of Computer Science and Engineering, College of Engineering, University of North Texas, Denton, USA"
Parthasarathy Guturu,"Electrical Engineering, College of Engineering, University of North Texas, Denton, USA"
Sherief Abdallah,"University of Edinburgh, Edinburgh, UK"
M. Saravanan 0003,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Garigipati Prasad,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Karishma Karishma,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
D. Suganthi,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Di Wang 0001,"Manchester Business School, University of Manchester, Manchester, UK"
Alistair G. Sutcliffe,"Manchester Business School, University of Manchester, Manchester, UK"
Xiao-Jun Zeng,"School of Computer Science, University of Manchester, Manchester, UK"
Li Chen 0009,"Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"
Luole Qi,"Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"
Manh Cuong Pham,"Information Systems and Database Technology,  RWTH Aachen University, Aachen, Aachen, Germany"
Ralf Klamma,"Information Systems and Database Technology,  RWTH Aachen University, Aachen, Aachen, Germany"
Matthias Jarke,"Information Systems and Database Technology,  RWTH Aachen University, Aachen, Aachen, Germany"
Chee Siang Ang,"School of Engineering and Digital Arts, University of Kent, Canterbury, UK"
Sofus A. Macskassy,"Fetch Technologies, El Segundo, USA"
Sally Hamouda,"Department of Computer Engineering, Faculty of Engineering, Cairo University, Cairo, Egypt"
Nayer M. Wanas,"Department of Informatics, Electronics Research Institute, Giza, Egypt"
John Yearwood,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Musa A. Mammadov,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Dean Webb,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Stéphane Peters,"LIP6, University Pierre et Marie Curie, Paris, France"
Yann Jacob,"LIP6, University Pierre et Marie Curie, Paris, France"
Ludovic Denoyer,"LIP6, University Pierre et Marie Curie, Paris, France"
Wei Zhang 0050,"Faculty of Science, Xi'an Jiaotong University, Xi'an, China"
Kuai Xu,"Division of Mathematical and Natural Sciences, Arizona State University, Phoenix, USA"
Joel Brynielsson,"Swedish Defence Research Agency, Stockholm, Sweden"
Lisa Kaati,"Swedish Defence Research Agency, Stockholm, Sweden"
Pontus Svenson,"Swedish Defence Research Agency, Stockholm, Sweden"
Justus Bross,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Keven Richly,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Matthias Kohnen,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Christoph Meinel,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Alessandro Cucchiarelli,"DIIGA, Università Politecnica delle Marche, Ancona, Italy"
Fulvio D'Antonio,"DIIGA, Università Politecnica delle Marche, Ancona, Italy"
Leandros A. Maglaras,"Department of Computer & Communications Engineering, University of Thessaly, Volos, Greece"
Dimitrios Katsaros 0001,"Department of Computer & Communications Engineering, University of Thessaly, Volos, Greece"
Yi-Kuang Ko,"National Taiwan University, Taipei, Taiwan"
Jing-Kai Lou,"National Taiwan University, Taipei, Taiwan"
Shyh-Kang Jeng,"National Taiwan University, Taipei, Taiwan"
Fernando Ferri,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Patrizia Grifoni,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Tiziana Guzzo,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Lei Tang 0001,"Yahoo! Labs, Santa Clara, USA"
Barbara Caci,"Dipartimento di Psicologia, Università degli Studi di Palermo, Palermo, Italy"
Maurizio Cardaci,"Dipartimento di Psicologia, Università degli Studi di Palermo, Palermo, Italy"
Marco Elio Tabacchi,"Centro Interdipartimentale Tecnologie della Conoscenza, Università degli Studi di Palermo, Palermo, Italy"
Tomoyuki Yuasa,"School of Engineering, The University of Tokyo, Tokyo, Japan"
Susumu Shirayama,"School of Engineering, The University of Tokyo, Tokyo, Japan"
Lin Chen 0012,"Queensland University of Technology, Brisbane, Australia"
Yingzi Jin,"The University of Tokyo, Tokyo, Japan"
Ching-Yung Lin,"IBM T. J. Watson Research Center, Yorktown Heights, USA"
Yutaka Matsuo,"The University of Tokyo, Tokyo, Japan"
Mitsuru Ishizuka,"The University of Tokyo, Tokyo, Japan"
Walter Quattrociocchi,"University of Siena, Siena, Italy"
Eugenia Galeota,"Department of Biology, University of Rome Tor Vergata, Rome, Italy"
Meeyoung Cha,"Graduate School of Culture Technology, KAIST, Daejeon, Korea"
Juan Antonio Navarro Pérez,"Technische Universität München, Munich, Germany"
Hamed Haddadi,"Queen Mary, University of London, London, UK"
Aixin Sun,"School of Computer Engineering, Nanyang Technological University, Singapore, Singapore"
Karl Branting,"The MITRE Corporation, McLean, USA"
Guangying Hua,"Bentley University, Waltham, USA"
Dominique Haughton,"Bentley University, Waltham, USA"
Vasanth Nair,"Computer Science Program, Louisiana Tech University, Ruston, USA"
Sumeet Dua,"Computer Science Program, Louisiana Tech University, Ruston, USA"
Florian Skopik,"Safety and Security Department, AIT Austrian Institute of Technology, Seibersdorf, Austria"
Mahadevan Vasudevan,"Department of EECS, University of Central Florida, Orlando, USA"
Narsingh Deo,"Department of EECS, University of Central Florida, Orlando, USA"
Frédéric Amblard,"IRIT, UT1, University of Social Science, Toulouse, France"
Achim Rettinger,"Karlsruhe Institute of Technology, Karlsruhe, Germany"
Hendrik Wermser,"Technische Universität München, Munich, Germany"
Yi Huang 0002,"Siemens AG, Corporate Technology, Munich, Germany"
Volker Tresp,"Siemens AG, Corporate Technology, Munich, Germany"
Said Kashoob,"Department of Engineering, Salalah College of Technology, Salalah, Oman"
James Caverlee,"Department of Computer Science and Engineering, Texas A&M University, College Station, USA"
Bradley S. Rees,"Department of Computer Science, Florida Institute of Technology, Melbourne, USA"
Keith B. Gallagher,"Department of Computer Science, Florida Institute of Technology, Melbourne, USA"
Piotr Bródka,"Institute of Informatics, Wrocław University of Technology, Wrocław, Poland"
Stanislaw Saganowski,"Research Engineering Center Sp. z o.o., Wrocław, Poland"
Przemyslaw Kazienko,"Institute of Informatics, Wrocław University of Technology, Wrocław, Poland"
Salvatore Catanese,"Department of Physics, Informatics Section, University of Messina, Messina, Italy"
