Nasrullah Memon
Reda Alhajj
Alvin W. Wolfe
John Scott
Devan Rosen
George A. Barnett
Jang-Hyun Kim 0001
Dalhia Mani
David Knoke
Robert A. Hanneman
Christian R. Shelton
Reda Alhajj
Nasrullah Memon
Charalampos E. Tsourakakis
Petros Drineas
Eirinaios Michelakis
Ioannis Koutis
Christos Faloutsos
Frédéric Gilbert 0001
Paolo Simonetto
Faraz Zaidi
Fabien Jourdan
Romain Bourqui
Troy Raeder
Nitesh V. Chawla
Hossam Sharara
Lisa Singh
Lise Getoor
Janet Mann
Claudia Müller-Birn
Benedikt Meuthrath
Andreas Erber
Sebastian Burkhart
Anne Baumgraß
Janette Lehmann
Robert Schmidl
Prantik Bhattacharyya
Ankush Garg
Shyhtsun Felix Wu
Ilham Esslimani
Armelle Brun
Anne Boyer
Muhaimenul Adnan
Mohamad Nagi
Keivan Kianmehr
Radwan Tahboub
Mick J. Ridley
Jon G. Rokne
Katharina Anna Zweig
Michael Kaufmann 0001
Leyla Zhuhadar
Olfa Nasraoui
Robert Wyatt
Rong Yang
Mehmet Kayaalp 0001
Tansel Özyer
Sibel Tariyan Özyer
Mohamed Fazeen
Ram Dantu
Parthasarathy Guturu
Sherief Abdallah
M. Saravanan 0003
Garigipati Prasad
Karishma Karishma
D. Suganthi
Di Wang 0001
Alistair G. Sutcliffe
Xiao-Jun Zeng
Li Chen 0009
Luole Qi
Manh Cuong Pham
Ralf Klamma
Matthias Jarke
Chee Siang Ang
Sofus A. Macskassy
Sally Hamouda
Nayer M. Wanas
Reda Alhajj
John Yearwood
Musa A. Mammadov
Dean Webb
Stéphane Peters
Yann Jacob
Ludovic Denoyer
Patrick Gallinari
Wei Zhang 0050
Weili Wu 0001
Feng Wang 0002
Kuai Xu
Joel Brynielsson
Lisa Kaati
Pontus Svenson
Justus Bross
Keven Richly
Matthias Kohnen
Christoph Meinel
Alessandro Cucchiarelli
Fulvio D'Antonio
Paola Velardi
Leandros A. Maglaras
Dimitrios Katsaros 0001
Yi-Kuang Ko
Jing-Kai Lou
Cheng-Te Li
Shou-De Lin
Shyh-Kang Jeng
Fernando Ferri
Patrizia Grifoni
Tiziana Guzzo
Nitin Agarwal
Huan Liu 0001
Lei Tang 0001
Philip S. Yu
Barbara Caci
Maurizio Cardaci
Marco Elio Tabacchi
Miray Kas
Kathleen M. Carley
L. Richard Carley
Tomoyuki Yuasa
Susumu Shirayama
Lin Chen 0012
Richi Nayak
Yingzi Jin
Ching-Yung Lin
Yutaka Matsuo
Mitsuru Ishizuka
Walter Quattrociocchi
Frédéric Amblard
Eugenia Galeota
Usha Sridhar
Sridhar Mandyam
Meeyoung Cha
Juan Antonio Navarro Pérez
Hamed Haddadi
Chenliang Li
Anwitaman Datta
Aixin Sun
Karl Branting
Guangying Hua
Dominique Haughton
Vasanth Nair
Sumeet Dua
Daniel Schall 0001
Florian Skopik
Mahadevan Vasudevan
Narsingh Deo
Rémy Cazabet
Hideaki Takeda 0001
Masahiro Hamasaki
Frédéric Amblard
Achim Rettinger
Hendrik Wermser
Yi Huang 0002
Volker Tresp
Said Kashoob
James Caverlee
Bradley S. Rees
Keith B. Gallagher
Piotr Bródka
Stanislaw Saganowski
Przemyslaw Kazienko
Salvatore Catanese
Emilio Ferrara
Giacomo Fiumara
Christophe Thovex
Francky Trichet
Faraz Zaidi
Deepa Anand
Kamal Kant Bharadwaj
Oussama Allali
Lionel Tabourier
Clémence Magnien
Matthieu Latapy
Mohamed Shehab
Moonam Ko
Hakim Touati
Malik Muhammad Saad Missen
Mohand Boughanem
Guillaume Cabanac
Darcy A. Davis
Ryan Lichtenwalter
Nitesh V. Chawla
Zeinab Liaghat
Amir Hossein Rasekh
Ala Mahdavi
Sean Chester
Bruce M. Kapron
Gautam Srivastava
S. Venkatesh 0001
Santhanakrishnan Anand
Rajarathnam Chandramouli
Koduvayur P. Subbalakshmi
Mukundan Venkataraman
Amit Goyal 0002
Francesco Bonchi
Laks V. S. Lakshmanan
Suresh Venkatasubramanian
Peter Lachenmaier
Florian Ott
Michael Koch 0001
Sharath Hiremagalore
Chen Liang
Angelos Stavrou
Huzefa Rangwala
Darko Obradovic
Stephan Baumann 0001
Andreas Dengel 0001
André Nichterlein
Rolf Niedermeier
Johannes Uhlmann
Mathias Weller
G. Poornalatha
Prakash S. Raghavendra
Ram Babu Roy
Uttam Kumar Sarkar
Juan Lang
Shyhtsun Felix Wu
Idrissa Sarr
Rokia Missaoui
Sukru Tikves
Sujogya Banerjee
Hamy Temkit
Sedat Gokalp
Hasan Davulcu
Arunabha Sen
Steven R. Corman
Mark Woodward
Shreejay Nair
Inayah Rohmaniyah
Ali Amin
Dana Popovici
Mikael Desertot
Sylvain Lecomte
Thierry Delot
Cheng-Te Li
Tsung-Ting Kuo
Chien-Tung Ho
San-Chuan Hung
Wei-Shih Lin
Shou-De Lin
Vinti Agarwal
Kamal Kant Bharadwaj
Sean Chester
Bruce M. Kapron
Ganesh Ramesh
Gautam Srivastava
Alex Thomo
S. Venkatesh 0001
Kalapriya Kannan
Munish Goyal
George T. Jacob
Hao-Fan Yang
Jinglan Zhang
Paul Roe
Sandra A. Vannoy
Charlie C. Chen
B. Dawn Medlin
Srividhya Venugopal
Evan Stoner
Martin Cadeiras
Ronaldo Menezes
Cuneyt Gurcan Akcora
Barbara Carminati
Elena Ferrari
Silvana Rossy de Brito
Aleksandra do Socorro da Silva
Dalton Lopes Martins
Nandamudi Lankalapalli Vijaykumar
Cláudio Alex Jorge da Rocha
João Crisóstomo Weyl Albuquerque Costa
Carlos Renato Lisboa Francês
Kirill Dyagilev
Shie Mannor
Elad Yom-Tov
Marcin Budka
Krzysztof Juszczyszyn
Katarzyna Musial
Anna Musial
David B. Skillicorn
Christian Leuprecht
Arnaud Sallaberry
Faraz Zaidi
Guy Melançon
Charalampos Chelmis
Viktor K. Prasanna
Mohamed M. Mostafa
Idrissa Sarr
Rokia Missaoui
Romain Lalande
Dieudonné Tchuente
C. Marie-Françoise Canut
Nadine Jessel
André Péninou
Florence Sèdes
Zhao Tian
Nancy Samaan
Andreas Harrer
Alona Schmidt
George A. Barnett
Jeanette B. Ruiz
Jesse R. Hammond
Zhige Xin
Nikolay Korovaiko
Alex Thomo
Jyi-Shane Liu
Ke-Chih Ning
Wan-Chun Chuang
Anwitaman Datta
Ee-Peng Lim
Stuart W. Shulman
Michal Jankowski-Lorek
Lukasz Ostrowski
Piotr Turek
Adam Wierzbicki
Sridhar Mandyam
Usha Sridhar
Yazhe Wang
Baihua Zheng
Paolo Boldi
Marco Rosa
Sebastiano Vigna
Irena Pletikosa Cvijikj
Florian Michahelles
John L. Pfaltz
Guido Sautter
Klemens Böhm
Eva Zangerle
Wolfgang Gassler
Günther Specht
Nicolas Kourtellis
Tharaka Alahakoon
Ramanuja Simha
Adriana Iamnitchi
Rahul Tripathi
Zachary Neal
Yue Wang 0009
Xintao Wu
Jun Zhu
Yang Xiang
Mahendra Piraveenan
Gnana Thedchanamoorthy
Shahadat Uddin
Kon Shing Kenneth Chung
Yuan Yao 0001
Hanghang Tong
Feng Xu 0007
Jian Lu 0001
Zhiyong Zhang 0002
Kanliang Wang
Zoheb Hassan Borbora
Muhammad Aurangzeb Ahmad
Jehwan Oh
Karen Zita Haigh
Jaideep Srivastava
Zhen Wen
Tetsuya Yoshida
Gianni Costa
Riccardo Ortale
Reihaneh Rabbany
Mansoureh Takaffoli
Justin Fagnan
Osmar R. Zaïane
Ricardo J. G. B. Campello
Jorge Carlos Valverde-Rebaza
Alneu de Andrade Lopes
Raghvendra Mall
Rocco Langone
Johan A. K. Suykens
Onur Küçüktunç
Kamer Kaya
Erik Saule
Ümit V. Çatalyürek
Jiliang Tang
Xia Hu
Huan Liu 0001
Yongli Ren
Gang Li 0009
Wanlei Zhou
Mario Cataldi
Andrea Ballatore
Ilaria Tiddi
Marie-Aude Aufaure
Michael K. Martin
Jürgen Pfeffer
Kathleen M. Carley
Aparna Gullapalli
Kathleen M. Carley
Daniel Faria Bernardes
Matthieu Latapy
Fabien Tarissan
Emoke-Ágnes Horvát
Katharina Anna Zweig
Paulo Shakarian
Sean Eyre
Damon Paulo
Mahmoudreza Babaei
Baharan Mirzasoleiman
Mahdi Jalili
Mohammad Ali Safari
Alysson Bolognesi Prado
Maria Cecília Calani Baranauskas
Stefan Stieglitz
Linh Dang-Xuan
Charles Perez
Babiga Birregah
Marc Lemercier
Peter Laflin
Alexander V. Mantzaris
Fiona Ainley
Amanda Otley
Peter Grindrod
Desmond J. Higham
Irena Pletikosa Cvijikj
Erica Dubach Spiegler
Florian Michahelles
Lucas A. Overbey
Benjamin Greco
Christopher Paribello
Terresa Jackson
Antoine Boutet
Hyoungshick Kim
Eiko Yoneki
Riivo Kikas
Marlon Dumas
Márton Karsai
C. A. Piña-García
Dongbing Gu
Ghufran Al-Shiridah
Khaled Mahdi
Maytham Safar
Panagiotis Symeonidis
Nikolaos Mantas
Yi-Chen Lo
Hung-Che Lai
Cheng-Te Li
Shou-De Lin
Wen Xu 0005
Zaixin Lu
Weili Wu 0001
Zhiming Chen
Carson Kai-Sang Leung
Syed Khairuzzaman Tanbeer
Juan J. Cameron
Jeffrey Chan
Samantha Lam
Conor Hayes
Chanhyun Kang
Andrea Pugliese 0001
John Grant
V. S. Subrahmanian
Daniel Schall 0001
Cristiano André da Costa
Dante Zaupa
Jorge Luis Victória Barbosa
Rodrigo da Rosa Righi
João de Camargo
Nikolas Daroit
Adenauer Corrêa Yamin
Sibel Adali
Jennifer Golbeck
Bogdan Gliwa
Anna Zygmunt
Anna Cinzia Squicciarini
Christopher Griffin 0001
Huan Liu 0001
Jiawei Han 0001
Hiroshi Motoda
Arkaitz Zubiaga
Heng Ji
Chhavi Rana
Sanjay Kumar Jain
Ming-Feng Tsai
Chih-Wei Tzeng
Zhe-Li Lin
Arbee L. P. Chen
Anna Vartapetiance
Lee Gillam
Mathias R. Kuhnt
Oliver A. Brust
Colin Cooper
Tomasz Radzik
Yiannis Siantos
Ben Collingsworth
Ronaldo Menezes
Diana Palsetia
Md. Mostofa Ali Patwary
Ankit Agrawal
Alok N. Choudhary
Ali Rahmani
Alan Chia-Lung Chen
Abdullah Sarhan
Jamal Jida
Mohammad Rifaie
Reda Alhajj
Moshen Shahriari
Mahdi Jalili
Tim Weninger
Alexandru-Florin Tatar
Panayotis Antoniadis
Marcelo Dias de Amorim
Serge Fdida
Ali Choumane
Md. Nafiz Hamid
Md. Abu Naser
Md. Kamrul Hasan
Hasan Mahmud
Kenneth Joseph
Kathleen M. Carley
David Filonuk
Geoffrey P. Morgan
Jürgen Pfeffer
Nicolas Dugué
Anthony Perez 0001
Bryan Perozzi
Christopher McCubbin
James T. Halbert
Maximilien Danisch
Jean-Loup Guillaume
Bénédicte Le Grand
Malhar Anjaria
Ram Mohana Reddy Guddeti
David B. Skillicorn
Quan Zheng 0001
Carlo Morselli
Laurie Grieshober
Rachael Hageman Blair
Neil Zhenqiang Gong
Wenchang Xu
Hila Koren
Ido Kaminer
Daphne R. Raban
Tanmoy Chakraborty 0002
Sandipan Sikdar
Niloy Ganguly
Animesh Mukherjee 0001
Konstantinos Pelechrinis
De Wang
Danesh Irani
Calton Pu
Tobias Hoßfeld
Valentin Burger
Haye Hinrichsen
Matthias Hirth
Phuoc Tran-Gia
James Abello
François Queyroi
Peter-Paul van Maanen
Remco Wijn
Erik M. Boertjes
Aibek Makazhanov
Davood Rafiei
Muhammad Waqar
Michael Fire
Dima Kagan
Aviad Elyashar
Yuval Elovici
Kathleen M. Carley
Jürgen Pfeffer
Fred Morstatter
Huan Liu 0001
Tianqing Zhu
Gang Li 0009
Lei Pan 0002
Yongli Ren
Wanlei Zhou
Erick Stattner
Martine Collard
Eamonn O'Loughlin
Diane Payne
Charalampos Chelmis
Ajitesh Srivastava
Viktor K. Prasanna
Trazíbulo Henrique
Inácio de Sousa Fadigas
Marcos Grilo Rosa
Hernane Borges de Barros Pereira
Acar Tamersoy
Elias B. Khalil
Bo Xie 0002
Stephen L. Lenkey
Bryan R. Routledge
Duen Horng Chau
Shamkant B. Navathe
Lingfei Wu
Robert Ackland
John Champaign
Robin Cohen
Noel Sardana
John A. Doucette
Petko Bogdanov
Michael Busch
Jeff Moehlis
Ambuj K. Singh
Boleslaw K. Szymanski
Daniel Archambault
Neil J. Hurley
Pete Burnap
Matthew L. Williams
Luke Sloan
Omer F. Rana
William Housley
Adam Edwards
Vincent A. Knight
Rob Procter
Alex Voss
Yongli Ren
Gang Li 0009
Jun Zhang 0010
Wanlei Zhou
Márcia D. B. Oliveira
Américo Guerreiro
João Gama 0001
Theo Lins
Adriano César Machado Pereira
Fabrício Benevenuto
Sibel Adali
Xiaohui Lu
Malik Magdon-Ismail
Alexey Uversky
Dusan Ramljak
Vladan Radosavljevic
Kosta Ristovski
Zoran Obradovic
Ahmed Abdeen Hamed
Xindong Wu 0001
Alan Rubin
Mingxiang Zhu
Tianjie Cao
Xiangying Jiang
Lidan Fan
Weili Wu 0001
Xuming Zhai
Kai Xing
Wonjun Lee
Ding-Zhu Du
Gnana Thedchanamoorthy
Mahendra Piraveenan
Shahadat Uddin
Upul Senanayake
Folke Mitzlaff
Martin Atzmüller
Andreas Hotho
Gerd Stumme
Christoph Scholz 0001
Martin Atzmueller
Mark Kibanov
Gerd Stumme
