Alvin W. Wolfe,University of South Florida
John Scott,University of Plymouth
Devan Rosen,University of Hawaii
Jang-Hyun Kim 0001,University of Hawaii
David Knoke,University of Minnesota
Robert A. Hanneman,University of California - Riverside
Christian R. Shelton,University of California - Riverside
Nasrullah Memon,Global University
Charalampos E. Tsourakakis,Carnegie Mellon University
Petros Drineas,Rensselaer Polytechnic Institute
Eirinaios Michelakis,University of California - Berkeley
Ioannis Koutis,Carnegie Mellon University
Frédéric Gilbert 0001,CNRS
Paolo Simonetto,CNRS
Romain Bourqui,CNRS
Troy Raeder,University of Notre Dame
Hossam Sharara,University of Maryland - College Park
Lisa Singh,Georgetown University
Lise Getoor,University of Maryland - College Park
Janet Mann,Georgetown University
Claudia Müller-Birn,Carnegie Mellon University
Andreas Erber,University of Potsdam
Sebastian Burkhart,University of Potsdam
Anne Baumgraß,Vienna University of Economics and Business
Robert Schmidl,University of Potsdam
Ankush Garg,University of California - Davis
Ilham Esslimani,Nancy University
Armelle Brun,Nancy University
Anne Boyer,Nancy University
Muhaimenul Adnan,University of Calgary
Mohamad Nagi,University of Bradford
Keivan Kianmehr,University of Calgary
Radwan Tahboub,Palestine Polytechnic University
Mick J. Ridley,University of Bradford
Michael Kaufmann 0001,University of Tübingen
Leyla Zhuhadar,University of Louisville
Olfa Nasraoui,University of Louisville
Robert Wyatt,Western Kentucky University
Mehmet Kayaalp 0001,TOBB Economics and Technology University
Tansel Özyer,TOBB Economics and Technology University
Sibel Tariyan Özyer,Çankaya University
Mohamed Fazeen,University of North Texas
Ram Dantu,University of North Texas
Parthasarathy Guturu,University of North Texas
Sherief Abdallah,University of Edinburgh
Di Wang 0001,University of Manchester
Alistair G. Sutcliffe,University of Manchester
Xiao-Jun Zeng,University of Manchester
Li Chen 0009,Hong Kong Baptist University
Luole Qi,Hong Kong Baptist University
Manh Cuong Pham,RWTH Aachen
Ralf Klamma,RWTH Aachen
Matthias Jarke,RWTH Aachen
Chee Siang Ang,University of Kent
Sally Hamouda,Cairo University
Nayer M. Wanas,Electronics Research Institute
John Yearwood,University of Ballarat
Musa A. Mammadov,University of Ballarat
Dean Webb,University of Ballarat
Stéphane Peters,University Pierre et Marie Curie
Yann Jacob,University Pierre et Marie Curie
Ludovic Denoyer,University Pierre et Marie Curie
Wei Zhang 0050,Xi'an Jiaotong University
Kuai Xu,Arizona State University
Justus Bross,Hasso-Plattner-Institut
Keven Richly,Hasso-Plattner-Institut
Matthias Kohnen,Hasso-Plattner-Institut
Christoph Meinel,Hasso-Plattner-Institut
Yi-Kuang Ko,National Taiwan University
