David C. Bell,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Jerry W. Carlson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
John M. Roberts Jr.,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Raymond V. Liedka,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Carolyn J. Anderson,"Department of Educational Psychology, University of Illinois at Urbana-Champaign, USA"
Stanley Wasserman,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Bradley Crouch,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Emmanuel Lazega,"University of Versailles, LASMAS-CNRS, 59 rue Pouchet, 75017 Paris, France"
Philippa Pattison,"University of Melbourne, Australia"
Jennifer A. Stoloff,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Jennifer L. Glanville,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Elisa Jayne Bienenstock,"Department of Sociology, Stanford University, Stanford, CA 94305-2047, USA"
Anuska Ferligoj,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, Ljubljana 1001, Slovenia"
Valentina Hlebec,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, Ljubljana 1001, Slovenia"
Karen Klein Ikkink,"Vrije Universiteit, Vrije University Amsterdam, Social Studies, Department of Sociology and Social Gerontology, de Boelelaan 1081c, 1081 HV Amsterdam, Netherlands"
Theo van Tilburg,"Vrije Universiteit, Vrije University Amsterdam, Social Studies, Department of Sociology and Social Gerontology, de Boelelaan 1081c, 1081 HV Amsterdam, Netherlands"
John P. Boyd 0002,"Department of Anthropology, 3151 Social Science Plaza, University of California - Irvine, Irvine, CA 92697-5100, USA"
Martin G. Everett,"University of Greenwich, London SE18 6PF, UK"
Nicholas V. Findler,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Sudheer Dhulipalla,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Marijtje A. J. Van Duijn,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Jooske T. van Busschbach,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Tom A. B. Snijders,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Dawn Iacobucci,"Northwestern University, IL, USA"
R. Neelamegham,"The University of Colorado, CO, USA"
Nigel Hopkins,
Brigham S. Anderson,"Department of Robotics, Carnegie Mellon University, Pittsburgh, PA, USA"
Carter T. Butts,"Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, USA, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA, USA"
