David C. Bell,0,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
John S. Atkinson,0,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Jerry W. Carlson,0,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
John M. Roberts Jr.,0,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Raymond V. Liedka,0,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Carolyn J. Anderson,0,"Department of Educational Psychology, University of Illinois at Urbana-Champaign, USA"
Stanley Wasserman,0,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Bradley Crouch,0,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Emmanuel Lazega,0,"University of Versailles, LASMAS-CNRS, 59 rue Pouchet, 75017 Paris, France"
Philippa Pattison,0,"University of Melbourne, Australia"
Jennifer A. Stoloff,0,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Jennifer L. Glanville,0,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Elisa Jayne Bienenstock,0,"Department of Sociology, Stanford University, Stanford, CA 94305-2047, USA"
Anuska Ferligoj,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, Ljubljana 1001, Slovenia"
Valentina Hlebec,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, Ljubljana 1001, Slovenia"
Karen Klein Ikkink,0,"Vrije Universiteit, Vrije University Amsterdam, Social Studies, Department of Sociology and Social Gerontology, de Boelelaan 1081c, 1081 HV Amsterdam, Netherlands"
Theo van Tilburg,0,"Vrije Universiteit, Vrije University Amsterdam, Social Studies, Department of Sociology and Social Gerontology, de Boelelaan 1081c, 1081 HV Amsterdam, Netherlands"
John P. Boyd 0002,0,"Department of Anthropology, 3151 Social Science Plaza, University of California - Irvine, Irvine, CA 92697-5100, USA"
Martin G. Everett,0,"University of Greenwich, London SE18 6PF, UK"
Nicholas V. Findler,0,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Sudheer Dhulipalla,0,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Marijtje A. J. Van Duijn,0,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Jooske T. van Busschbach,0,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Tom A. B. Snijders,0,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
Dawn Iacobucci,0,"Northwestern University, IL, USA"
R. Neelamegham,0,"The University of Colorado, CO, USA"
Nigel Hopkins,0,
Brigham S. Anderson,0,"Department of Robotics, Carnegie Mellon University, Pittsburgh, PA, USA"
Carter T. Butts,0,"Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, USA, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA, USA"
Kathleen M. Carley,0,"Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, USA, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA, USA, H.J. Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, PA, USA"
Wouter de Nooy,0,"Department of History and Arts, Erasmus University, Erasmus University Rotterdam, PO Box 1738, 3000 DR Rotterdam, Netherlands"
Stefanie Bailey,0,"Department of Sociology, Stanford University, Stanford, CA 94305, USA"
Peter V. Marsden,0,"Department of Sociology, Harvard University, Cambridge, MA, USA"
Katherine Faust,0,"Department of Sociology, University of South Carolina, Columbia, SC, USA"
Barbara Entwisle,0,"Department of Sociology and Carolina Population Center, University of North Carolina, Chapel Hill, NC, USA"
Ronald R. Rindfuss,0,"Department of Sociology and Carolina Population Center, University of North Carolina, Chapel Hill, NC, USA"
Stephen J. Walsh,0,"Department of Geography, University of North Carolina, Chapel Hill, NC, USA"
Yothin Sawangdee,0,"Institute for Population and Social Research, Mahidol University, Salaya, Thailand"
Ingegerd Jansson,0,"Department of Statistics, Stockholm University, 106 91 Stockholm, Sweden"
Devon D. Brewer,0,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E., Seattle, WA 98105, USA"
Cynthia M. Webster,0,"School of Marketing, University of New South Wales, Sydney, NSW 2052, Australia"
Stephen P. Borgatti,0,"Department of Organization Studies, Carroll School of Management, Boston College, Chestnut Hill, MA 02467, USA"
Martin G. Everett,0,"School of Computing and Mathematical Sciences, University of Greenwich, 30 Park Row, London SE10 9LS, UK"
Martin G. Everett,0,"University of Greenwich School of Computing and Mathematical Sciences, 30 Park Row, London SE10 9LS UK"
Stephen P. Borgatti,0,"Department of Organization Studies, Carroll School of Management, Boston College, Chestnut Hill, MA 02467 USA"
Ronald S. Burt,0,"Graduate School of Business, University of Chicago and INSEAD, Chicago, IL 60637, USA"
Devon D. Brewer,0,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E., Seattle, WA 98105, USA"
Hugh Louch,0,"Princeton University, Princeton, NJ 08544, USA"
John M. Roberts Jr.,0,"Department of Sociology, University of New Mexico Albuquerque, NM 87131, USA"
Sabina Kef,0,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Joop J. Hox,0,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
H. T. Habekothé,0,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Kazuo Yamaguchi,0,"NORC/The University of Chicago, Chicago, IL 60637, USA"
Bruce C. Straits,0,"Department of Sociology, University of California - Santa Barbara, Santa Barbara, CA 93106-9430, USA"
René van den Brink,0,"Department of Econometrics, Tilburg University, PO Box 90153, 5000 LE Tilburg, Netherlands"
Robert P. Gilles,0,"Department of Economics, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, USA"
Lucia Falzon,0,"Communications Division, Defence Science and Technology Organisation, P.O. Box 1500, Salisbury, SA 5108, Australia"
Vladimir Batagelj,0,"Department of Mathematics, FMF, University of Ljubljana, Jadranska 19, 1000 Ljubljana, Slovenia"
Andrej Mrvar,0,"Department of Mathematics, FMF, University of Ljubljana, Jadranska 19, 1000 Ljubljana, Slovenia"
Robert Poulin,0,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Marie-Claude Boily,0,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Benoît R. Mâsse,0,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Norman P. Hummon,0,"Department of Sociology, University of Pittsburgh, 2E22 Wesley W. Posvar Hall, Pittburgh, PA 15260 USA"
Robb Willer,0,"Department of Sociology, University of Iowa, Iowa City, IA 52242 USA"
David Willer,0,"University of South Carolina, SC, USA"
John M. Roberts Jr.,0,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131 USA"
Micha Mandel,0,"Department of Statistics, The Hebrew University, Jerusalem, Israel"
J. Jill Suitor,0,"Department of Sociology, Louisiana State University, Baton Rouge, LA 70803, USA"
Karl Pillemer,0,"Cornell University, Ithaca, NY 14853, USA"
Paul Nieuwbeerta,0,"Utrecht University, P.O. Box 80125, 3508 TC Utrecht, The Netherlands"
Henk Flap,0,"Utrecht University, P.O. Box 80125, 3508 TC Utrecht, The Netherlands"
Kevin White 0002,0,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Susan Cotts Watkins,0,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Britta Ruhnau,0,"Department of Operations Research, Universität Dortmund, University of Dortmund, D-44221 Dortmund, Germany"
Devon D. Brewer,0,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E. Seattle, WA 98105, USA"
Garry Robins,0,"Department of Psychology, University of Melbourne, Melbourne, Vic. 3010, Australia"
Peter Elliott,0,"Department of Psychology, Swinburne University of Technology, Hawthorn, Vic. 3122, Australia"
Philippa Pattison,0,"Department of Psychology, University of Melbourne, Melbourne, Vic. 3010, Australia"
Carter T. Butts,0,"Department of Social and Decision Sciences, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA 15213, USA"
Gina Lai,0,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Hong Kong, PR China"
John P. Boyd 0002,0,"Department of Anthropology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697, USA"
Kai J. Jonas,0,"Georg-August-Universitaet, Goettingen 37073, Germany"
Valentina Hlebec,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1001 Ljubljana, Slovenia"
Anuska Ferligoj,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1001 Ljubljana, Slovenia"
Min-Woong Sohn,0,"Department of Health Studies, The University of Chicago, 5841 S Maryland Avenue MC 2007, Chicago, IL 60637 1470, USA"
Noah E. Friedkin,0,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Phillip Bonacich,0,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, Los Angeles, CA 90095-1551, USA"
Paulette Lloyd,0,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, Los Angeles, CA 90095-1551, USA"
Ove Frank,0,"Department of Statistics, Stockholm University, S-106 91 Stockholm, Sweden"
Rob Cross,0,"University of Virginia and IBM’s Institute of Knowledge Management, 55 Cambridge Park-Way, LDB 3E, Cambridge, MA 02142, USA"
Stephen P. Borgatti,0,"Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA"
Andrew Parker 0003,0,"IBM’s Institute for Knowledge Management, 55 Cambridge Parkway LDB 3E, Cambridge, MA 02142, USA"
Vladimir Batagelj,0,"Department of Mathematics, University of Ljubljana, FMF, Jadranska 19, 1000 Ljubljana, Slovenia"
Andrej Mrvar,0,"Department of Mathematics, University of Ljubljana, FMF, Jadranska 19, 1000 Ljubljana, Slovenia"
Michael Bourgeois,0,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Noah E. Friedkin,0,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
James Moody,0,"Department of Sociology, The Ohio State University, 372 Bricker Hall, 300 North Oval Mall, Columbus, OH 43210, USA"
Song Yang,1,"Department of Sociology, 909 Social Sciences Building, University of Minnesota, Minneapolis, MN 55455, USA"
David Knoke,0,"Department of Sociology, 909 Social Sciences Building, University of Minnesota, Minneapolis, MN 55455, USA"
Henk Flap,0,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 1, NL 3584 CS Utrecht, The Netherlands"
Beate Völker,0,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 1, NL 3584 CS Utrecht, The Netherlands"
Tina Kogovsek,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Anuska Ferligoj,0,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Germà Coenders,0,"University of Girona, Girona, Spain"
Willem E. Saris,0,"University of Amsterdam, Amsterdam, The Netherlands"
Roger Th. A. J. Leenders,0,"School of Management and Organization, Cluster of Business Development, University of Groningen, Landleven 5, 9747 AD Groningen, The Netherlands"
Gina Lai,0,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
Odalia Wong,0,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
Charles Kadushin,0,"Brandeis University, USA"
Patrick Doreian,0,"Department of Sociology, University of Pittsburgh, 2G24 WWPH Pittsburgh, PA 15260, USA"
Brian McCue,0,"4915 Cherokee Avenue, Alexandria, VA 22312, USA"
Martin Ruef,0,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Kazuo Yamaguchi,0,"Department of Sociology, University of Chicago, 1126 E 59th Street, Chicago, IL 60637, USA"
Devon D. Brewer,0,"Alcohol and Drug Abuse Institute, University of Washington, 1107 NE 45th Street, Suite 120, Washington, WA 98105-4631, USA"
Jeffrey C. Johnson,0,"East Carolina University, Greenville, USA"
Susan C. Weller,0,"University of Texas Medical Branch, Gelveston, USA"
John M. Roberts Jr.,0,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Timothy J. Brazill,0,"Department of Sociology, Mercer University, 1400 Coleman Avenue, Macon, GA 31207, USA"
Bernard Grofman,0,"School of Social Sciences, University of California - Irvine, Irvine, CA, USA"
Katherine Faust,0,"Department of Sociology, University of South Carolina, 3265 Social Sciences Plaza B, Irvine, CA 92697, USA"
Karin E. Willert,0,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
David D. Rowlee,0,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
John Skvoretz,0,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
Ece Batchelder,0,"School of Social Sciences and Institute for Brain Aging and Dementia, University of California - Irvine, Irvine, CA 92697, USA"
David Krackhardt,0,"The Heinz School of Public Policy and Management, and The Graduate School of Industrial Administration, Carnegie Mellon University, Pittsburgh, PA, USA"
Martin Kilduff,0,"Department of Management and Organization, Smeal College of Business Administration, The Pennsylvania State University, University Park, PA 16802, USA"
Jeffrey C. Johnson,0,"Department of Sociology, East Carolina University, Brewster A-416, 10th Street, Greenville, NC 27858, USA"
Michael K. Orbach,0,"Duke University, Durham, NC, USA"
Noah E. Friedkin,0,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
David Krackhardt,0,"Heinz School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, PA, USA"
John P. Boyd 0002,0,"Department of Anthropology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697-5100, USA"
