John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Jerry W. Carlson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Raymond V. Liedka,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Carolyn J. Anderson,"Department of Educational Psychology, University of Illinois at Urbana-Champaign, USA"
Stanley Wasserman,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Bradley Crouch,"Department of Psychology, University of Illinois at Urbana-Champaign, USA"
Jennifer A. Stoloff,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Jennifer L. Glanville,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Elisa Jayne Bienenstock,"Department of Sociology, Stanford University, Stanford, CA 94305-2047, USA"
Karen Klein Ikkink,"Vrije Universiteit, Vrije University Amsterdam, Social Studies, Department of Sociology and Social Gerontology, de Boelelaan 1081c, 1081 HV Amsterdam, Netherlands"
Nicholas V. Findler,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Sudheer Dhulipalla,"Department of Computer Science and the Artificial Intelligence Lab., Arizona State University, Tempe, AZ 85287-5406, USA"
Jooske T. van Busschbach,"Department of Statistics, Measurement Theory and Information Technology, University of Groningen, Grote Kruisstraat 2/1, 9712 TS Groningen, Netherlands"
R. Neelamegham,"The University of Colorado, CO, USA"
Nigel Hopkins,
Brigham S. Anderson,"Department of Robotics, Carnegie Mellon University, Pittsburgh, PA, USA"
Stefanie Bailey,"Department of Sociology, Stanford University, Stanford, CA 94305, USA"
Stephen J. Walsh,"Department of Geography, University of North Carolina, Chapel Hill, NC, USA"
Yothin Sawangdee,"Institute for Population and Social Research, Mahidol University, Salaya, Thailand"
Ingegerd Jansson,"Department of Statistics, Stockholm University, 106 91 Stockholm, Sweden"
Cynthia M. Webster,"School of Marketing, University of New South Wales, Sydney, NSW 2052, Australia"
Hugh Louch,"Princeton University, Princeton, NJ 08544, USA"
Sabina Kef,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Joop J. Hox,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
H. T. Habekothé,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Bruce C. Straits,"Department of Sociology, University of California - Santa Barbara, Santa Barbara, CA 93106-9430, USA"
Robert P. Gilles,"Department of Economics, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, USA"
Robert Poulin,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Marie-Claude Boily,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Benoît R. Mâsse,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Robb Willer,"Department of Sociology, University of Iowa, Iowa City, IA 52242 USA"
Micha Mandel,"Department of Statistics, The Hebrew University, Jerusalem, Israel"
J. Jill Suitor,"Department of Sociology, Louisiana State University, Baton Rouge, LA 70803, USA"
Karl Pillemer,"Cornell University, Ithaca, NY 14853, USA"
Kevin White 0002,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Susan Cotts Watkins,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Britta Ruhnau,"Department of Operations Research, Universität Dortmund, University of Dortmund, D-44221 Dortmund, Germany"
Peter Elliott,"Department of Psychology, Swinburne University of Technology, Hawthorn, Vic. 3122, Australia"
Kai J. Jonas,"Georg-August-Universitaet, Goettingen 37073, Germany"
Min-Woong Sohn,"Department of Health Studies, The University of Chicago, 5841 S Maryland Avenue MC 2007, Chicago, IL 60637 1470, USA"
Michael Bourgeois,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Willem E. Saris,"University of Amsterdam, Amsterdam, The Netherlands"
Odalia Wong,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
Brian McCue,"4915 Cherokee Avenue, Alexandria, VA 22312, USA"
Martin Ruef,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Devon D. Brewer,"Alcohol and Drug Abuse Institute, University of Washington, 1107 NE 45th Street, Suite 120, Washington, WA 98105-4631, USA"
Susan C. Weller,"University of Texas Medical Branch, Gelveston, USA"
John M. Roberts Jr.,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Timothy J. Brazill,"Department of Sociology, Mercer University, 1400 Coleman Avenue, Macon, GA 31207, USA"
Bernard Grofman,"School of Social Sciences, University of California - Irvine, Irvine, CA, USA"
Karin E. Willert,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
David D. Rowlee,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
Ece Batchelder,"School of Social Sciences and Institute for Brain Aging and Dementia, University of California - Irvine, Irvine, CA 92697, USA"
Martin Kilduff,"Department of Management and Organization, Smeal College of Business Administration, The Pennsylvania State University, University Park, PA 16802, USA"
Jeffrey C. Johnson,"Department of Sociology, East Carolina University, Brewster A-416, 10th Street, Greenville, NC 27858, USA"
Michael K. Orbach,"Duke University, Durham, NC, USA"
William C. Carter,"Cecil G. Sheps Center for Health Services at the University of North Carolina, Chapel Hill, NC, USA"
Ove Frank,"Department of Statistics, Stockholm University, S-10691 Stockholm, Sweden"
Norman P. Hummon,"Department of Sociology, University of Pittsburgh, 2J22 Wesley W. Posvar Hall, Pittsburgh, PA 15260, USA"
Maarten Marx,"Language and Inference Technology Group, ILLC, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 WV Amsterdam, The Netherlands"
Michael Masuch,"Language and Inference Technology Group, ILLC, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 WV Amsterdam, The Netherlands"
Hester H. S. Moerbeek,"Department of Sociology of Consumers and Households, Wageningen University, Wageningen, The Netherlands"
Mark E. J. Newman,"Santa Fe Institute, 1399 Hyde Park Road, Santa Fe, NM 87501, USA"
Gianluca Carnabuci,"Department of Sociology and Anthropology, Universiteit van Amsterdam, University of Amsterdam, Oudezijds Achterburgwal 185, 1012 DK Amsterdam, The Netherlands"
Ivar E. Vermeulen,"Applied Logic Laboratory, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 VW Amsterdam, The Netherlands"
John Domini,"University of Florida, Gainesville, FL, USA"
Gene A. Shelley,"Georgia State University, Atlanta, GA, USA"
George R. Barnes,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Patricia B. Cerrito,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Inessa Levi,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Jukka Nyblom,"Department of Statistics, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Juha Roslakka,"Department of Social Policy, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Mikko A. Salo,"Department of Social Policy, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Shin-Kap Han,"Department of Sociology, University of Illinois at Urbana-Champaign, 326 Lincoln Hall, MC-454, Urbana, IL 61801, USA"
Kazuo Yamaguchi,"Department of Sociology, University of Chicago, 1126 E 59th Street, Chicago, IL 60637, USA"
William S. Lovejoy,"Business School, University of Michigan, 701 Tappan, Ann Arbor, MI 48109, USA"
Christoph H. Loch,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Deirdre M. Kirke,"Department of Sociology, National University of Ireland, Maynooth, Co. Kildare, Ireland"
Dianne A. Van Hemert,"Department of Psychology, Tilburg University, Tilburg, The Netherlands"
Robert R. Faulkner,"University of Massachusetts, MA, USA"
Thomas J. Fararo,"University of Pittsburgh, Pittsburgh, PA, USA"
Frits van Merode,"Department of Health Organization, Policy and Economics, Maastricht University, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Anna Nieboer,"Institute of Health Policy and Management, Erasmus MC, P.O. Box 1738, 3000 DR Rotterdam, The Netherlands"
Hans Maarse,"Department of Health Organization, Policy and Economics, Maastricht University, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Harm Lieverdink,"CTU, P.O. Box 459, 1180 AC Amstelveen, The Netherlands"
Fredrik Liljeros,"Department of Sociology, Stockholm University, S-106 91 Stockholm, Sweden"
María Guadalupe Ramírez Ortiz,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
José Ramiro Caballero Hoyos,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
