name,affiliation
A. Suruliandi,Manonmaniam Sundaranar University
Aayush Aggarwal,IIIT Delhi
Abdallah Tubaishat,Zayed University
Abdel-Fattah Attia,Kafrelsheikh University
Abderrahim Benslimane,University of Avignon
Abdulhameed Alelaiwi,King Saud University
Abdullah Abusorrah,King Abdulaziz University
Abhijit Majumdar,University of Texas at San Antonio
Abhijnan Chakraborty,Max Planck Institute
Abhishek Chakraborty 0002,IIT Madras
Abigail Paradise,Ben-Gurion University of the Negev
Abolfazl Yaghmaei,University of Tehran
Aboul Ella Hassanien,Cairo University
Adriana Iamnitchi,University of South Florida
Afshan Saleem,University of Gujrat
Ahmed Al Marouf,Daffodil International University (DIU)
Ahmed AlEroud,Yarmouk University
Ahsan Shehzad,Dalian University of Technology
Ai-Wen Li,Dalian Minzu University
Aixin Sun,Nanyang Technological University
Akash Anil,IIT Guwahati
Alan Kuhnle,University of Florida
Albert Y. Zomaya,University of Sydney
Alex 'Sandy' Pentland,Massachusetts Institute of Technology
Alex Cassidy,Washington University in St. Louis
Alex Doboli,Stony Brook University
Alex Pentland,Massachusetts Institute of Technology
Alexander G. Nikolaev,University at Buffalo
Alexander G. Tartakovsky,University of Connecticut
Ali Hamzeh,Shiraz University
Ali Li,Ludong University
Alireza Farasat,University at Buffalo
Alireza Louni,Stevens Institute of Technology
Alison Albin,Johns Hopkins University
Alois Ferscha,Johannes Kepler University
Alon Sela,Ariel University
Alun D. Preece,Cardiff University
Alysson Alves de Lima,UFPE
Ameer Hamza Khan,The Hong Kong Polytechnic University
Amir Ebrahimi Fard,Delft University of Technology
Amit Bhaya,Federal University of Rio de Janeiro
Amit Kumar,Jadavpur University
Amitava Datta,University of Western Australia
Amos Azaria,Carnegie Mellon University
Anastasios D. Doulamis,University of Athens
Andi Wang,Northeastern University
Andrea De Salve,University of Palermo
Andrea Michienzi,University of Pisa
Andrea Tagarelli,University of Calabria
Andres Felipe Zambrano,University of Los Andes
Ang Liu,University of New South Wales
Angelo Sifaleras,University of Macedonia
Animesh Mukherjee 0001,IIT Kharagpur
Anja Subasic,Dartmouth College
Ankan Mullick,Microsoft
Anshul Sawant,Google
Antonia Russo,Mediterranea University of Reggio Calabria
Antonio Luca Alfeo,University of Pisa
Anup K. Kalia,IBM
Anura P. Jayasumana,Colorado State University
Anurag Shandilya,IIT Kharagpur
Anwar Walid,Nokia Bell Labs
Aparna Sankaran Srinath,Boise State University
Aram Galstyan,University of Southern California
Arash Ghayoori,University of Illinois at Urbana-Champaign
Areej Alsini,University of Western Australia
Arijit Sur,IIT Guwahati
Arkady B. Zaslavsky,CSIRO
Arman Kabiri,University of New Brunswick
Arshad Muhammad 0001,Sohar University
Arushi Gupta,University of Cincinnati
Arwen H. DeCostanza,U.S. Army Research Laboratory
Arye Nehorai,Washington University in St. Louis
Asaf Shabtai,Ben-Gurion University of the Negev
Asgarali Bouyer,Azarbaijan Shahid Madani University
Ashish Sharma 0004,IIT Kharagpur
Assadaporn Sapsomboon,Chulalongkorn University
Ata Ullah,National University of Modern Languages
Athina Thanou,University of Athens
Aviad Elyashar,Ben-Gurion University of the Negev
Avijit Gayen,IIT Patna
Aviral Shrivastava,IIT Kharagpur
Ayan Kumar Bhowmick,IIT Kharagpur
Aymen Hamrouni,University of Carthage
B. S. Manoj 0001,Indian Institute of Space Science and Technology
Babar Shah,Zayed University
Balakrishnan Narayanaswamy,Indian Institute of Science
Balasubramaniam Thirunavukarasu,Queensland University of Technology
Baocheng Geng,Syracuse University
Baoying Huang,Macau University of Science and Technology
Barbara Guidi,University of Pisa
Bartel A. Van de Walle,Delft University of Technology
Bassem Makni,IBM
Bay-Yuan Hsu,University of California - Santa Barbara
Behrouz Jedari,Dalian University of Technology
Behrouz Tork Ladani,University of Isfahan
Belinda Yuen,Singapore University of Technology and Design
Benjamin W. K. Hung,Colorado State University
Berat A. Erol,University of Texas at San Antonio
Bernard J. Jansen,Qatar Computing Research Institute
Bernardo A. Huberman,HP Labs
Bill Buchanan,Edinburgh Napier University
Billy Pik Lik Lau,Singapore University of Technology and Design
Bin Hu 0001,Lanzhou University
Bin Ning,Beijing Jiaotong University
Bin Wu 0001,Beijing University of Posts and Telecommunications
Bing Zhou,Zhengzhou University
Bing-Chuan Wang,City University of Hong Kong
Bingxu Zhao,Yantai University
Binyao Duan,University of Science and Technology of China
Bivas Mitra,IIT Kharagpur
Bo An 0001,Nanyang Technological University
Bo Liu 0024,University of Auckland
Bo Xu 0008,Dalian University of Technology
Bo Yang 0034,Tongji University
Bo Zhang 0004,Shanghai Normal University
Bo Zhou 0001,Liverpool John Moores University
Bo-Han Yan,Henan University of Economics and Law
Bogdan Carbunar,Florida International University
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Boyi Xu,Shanghai Jiao Tong University
Brett Snider,University of Guelph
Brijesh Singh,IIT Guwahati
C. S. Shaijumon,Indian Institute of Space Science and Technology
Cai Fu,Huazhong University of Science and Technology
Caiwei Yuan,Harbin Institute of Technology
Camellia Sarkar,IIT Indore
Carlo Lipizzi,Stevens Institute of Technology
Carol Xiaojuan Ou,Tilburg University
Catholijn M. Jonker,Leiden University
Ceyhun Eksin,Georgia Institute of Technology
Chaitanya Shivade,Amazon Inc.
Chamil Kulatunga,University College Dublin
Chang Shu,UESTC
Changbing Tang,Zhejiang Normal University
Changjun Jiang,Tongji University
Changqi Wang,Tongji University
Changqing Luo,Virginia Commonwealth University
Chao Chen 0015,Deakin University
Chao Liang,York University
Chao Liu,Chongqing University
Chao Wang,Anhui University
Chaochao Li,Zhengzhou University
Chaodong Wang,Tongji University
Chaojie Ji,Chinese Academy of Sciences
Chaoxi Li,Shenzhen University
Charith Perera,Open University
Charles M. Macal,Argonne National Laboratory
Chau Yuen,Singapore University of Technology and Design
Chelsea C. White III,Georgia Institute of Technology
Chen Diao,Ningxia University
Chen Lv,Cranfield University
Chen Wang 0011,Huazhong University of Science and Technology
Chen Wang 0042,Northeastern University
Chen Zhang,Dalian University of Technology
Chenbo Fu,Zhejiang University
Cheng Guo 0001,Dalian University of Technology
Cheng Long,Nanyang Technological University
Cheng Wang 0001,Tongji University
Cheng-Shang Chang,National Tsing Hua University
Cheng-Te Li,National Cheng Kung University
Cheng-Zhong Xu 0001,Chinese Academy of Sciences
Chengjue Yuan,Shanghai Jiao Tong University
Chengwen Luo 0001,Shenzhen University
Chenhan Zhang,University of Technology Sydney
Chenwang Zheng,Beijing Jiaotong University
Chetan Harichandra Mendhe,Lakehead University
Chi Harold Liu,Beijing Institute of Technology
Chi Zhang,Xi'an Jiaotong University
Chia-Yu Lin,Yuan Ze University
Chiara Pulice,Dartmouth College
Chih-Hang Wu,Kansas State University
Chih-Ya Shen,National Tsing Hua University
Ching-Chu Huang,National Tsing Hua University
Chong Liu,PLA Strategic Support Force Information Engineering University
Christophe Prieur,Telecom ParisTech
Christopher C. Yang,Drexel University
Chun Xu,Sichuan University
Chunbo Luo,University of Exeter
Chungang Yan,Tongji University
Chunhua Gu,Shanghai University
Chunming Rong,University of Stavanger
Chunsheng Zhu,Southern University of Science and Technology
Chunxiang Xu,UESTC
Claudia Brandelero Rizzi,Western Paraná State University
Claudia Wagner,GESIS - Leibniz Institute for the Social Sciences
Colin Roberts,Cardiff University
Collins Census,Southwest Jiaotong University
Cong Yang,University of Siegen
Congtao Wang,Anhui University
Congyu Wu,University of Virginia
Corey Pennycuff,University of Notre Dame
Curtis L. Maines,Liverpool John Moores University
Daiyu Huang,Donghua University
Damian A. Tamburri,Eindhoven University of Technology
Damla Turgut,University of Central Florida
Dan Tao,Beijing Jiaotong University
Dan Zhang 0001,Zhejiang University
Dandan Li,Dalian Maritime University
Daniel Riehm,University of Notre Dame
Daniel W. Stashuk,University of Waterloo
Daniel Zeng,Chinese Academy of Sciences
Daniele Bellutta,Dartmouth College
Danupol Hoonsopon,Chulalongkorn University
Danwei Liang,Xi'an Jiaotong University
Dany Kamuhanda,Huazhong University of Science and Technology
Daobing He,Chongqing University
Dario Borrelli,Stevens Institute of Technology
Darren Scott Appling,Georgia Institute of Technology
David B. Smith 0001,CSIRO
David Ben-Arieh,Kansas State University
David H. Rogers,Cardiff University
David Reitter,Google
Dawei Zhu,Nanjing University
De-Nian Yang,Institute of Information Science
Debaditya Barman,Visva-Bharati University
Debarka Sengupta,Indraprastha Institute of Information Technology Delhi
Debasis Das 0001,IIT Jodhpur
Deborah I. Fels,Ryerson University
Denis Gracanin,Virginia Tech
Dev Vashisth,BITS Pilani
Dexiang Yin,Huazhong University of Science and Technology
Deying Li 0001,Renmin University of China
Dianxiang Xu,Northwest Normal University
Diego Perna,University of Calabria
Dinesh Kumar Saini,Sohar University
Ding-Zhu Du,University of Texas at Dallas
Dirk-Jan van Veen,ETH Zurich
Dixon Vimalajeewa,Waterford Institute of Technology
Dmitri Goldenberg,Tel-Aviv University
Dominic DiFranzo,Cornell University
Dong Liao,Xi'an Jiaotong University
Dongning Liu,Guangdong University of Technology
Dongpu Cao,University of Waterloo
Dongwei Xu,Zhejiang University
Dongxiao Yu,Shandong University
Douglas Adams 0003,University of Arkansas
Du Q. Huynh,University of Western Australia
Duan-Shin Lee,National Tsing Hua University
Dumidu S. Talagala,University of Surrey
Duo Xu,Shanghai Normal University
Durvasula V. L. N. Somayajulu,Indian Institute of Information Technology
Dusit Niyato,Nanyang Technological University
Dusko Pavlovic,University of Hawaii at Manoa
Ebin Deni Raj,Indian Institute of Information Technology
Ebrahim Sahafizadeh,University of Isfahan
Edoardo Serra,Boise State University
Edward A. McBean,University of Guelph
Edward H. Ip,Wake Forest School of Medicine
Efstathios Velenis,Cranfield University
Ehsan Ghezelbash,University of Tehran
Eirini Milaiou,University of Athens
Eirini-Eleni Tsiropoulou,University of New Mexico
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi
Eleni Stai,EPFL
Elizabeth Reilly,Johns Hopkins University
Ella M. Atkins,University of Michigan
Emilio Ferrara,University of Southern California
Erez Shmueli,Tel-Aviv University
Eric Cawi,Washington University in St. Louis
Eric Horvitz,Microsoft
Eric Lancaster,University of Maryland - College Park
Erica Briscoe,Georgia Institute of Technology
Erik Cambria,Nanyang Technological University
Erwu Liu,Tongji University
Eugene Santos,Dartmouth College
Eugenius Kaszkurewicz,Federal University of Rio de Janeiro
Eunice E. Santos,Illinois Institute of Technology
Fahad Maqbool,University of Sargodha
Faming Gong,China University of Petroleum
Fang Chen 0001,University of Technology Sydney
Fanzhang Li,Soochow University
Farshad Salimi Naneh Karan,University of Tennessee
Fatima K. Abu Salem,American University of Beirut
Fei Hao,Shaanxi Normal University
Fei Tao,Beihang University
Fei-Yue Wang 0001,Chinese Academy of Sciences
Feifei Chen 0001,Deakin University
Feng Chen 0001,University of Texas at Dallas
Feng Li 0001,Indiana University
Feng Wang 0002,Arizona State University
Feng Wang 0020,Fujian University of Technology
Feng Xia 0001,Federation University Australia
Fenghua Zhu,Chinese Academy of Sciences
