George Cybenko,0,"Thayer School of Engineering Dartmouth College, Hanover, NH, USA"
Eunice E. Santos,0,"Department of Computer Science, University of Texas at El Paso, TX, USA"
Vikram Krishnamurthy,0,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, Canada"
H. Vincent Poor,0,"Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"
Erez Shmueli,0,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Vivek Kumar Singh 0007,0,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Bruno Lepri,0,"Fondazione Bruno Kessler, Trento, Italy"
Alex Pentland,0,"Media Lab Massachusetts Institute of Technology, Cambridge, MA, USA"
Joshua D. Guzman,0,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Richard F. Deckro,0,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Matthew J. Robbins,0,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
James F. Morris,0,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Nicholas A. Ballester,0,"Department of Operational Sciences, Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base, OH, USA"
Mingming Chen,0,"Department of Computer Science, Tsinghua University, Beijing, China"
Konstantin Kuzmin,0,"Rennselaer Polytechnic Institute, Troy, NY, USA"
Boleslaw K. Szymanski,0,"Rennselaer Polytechnic Institute, Troy, NY, USA"
Edoardo Serra,0,"University of Maryland - College Park Institute for Advanced Computer Studies (UMIACS), College Park, MD, USA"
V. S. Subrahmanian,0,"Computer Science Department, University of Maryland - College Park, College Park, MD, USA"
Vasanthan Raghavan,0,"Qualcomm Flarion Technologies, Inc., Bridgewater, NJ, USA"
Greg Ver Steeg,0,"Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA"
Aram Galstyan,0,"Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA"
Alexander G. Tartakovsky,0,"Department of Statistics, University of Connecticut, Storrs, CT, USA"
Claudia Wagner,0,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany"
