Kevin Crowston,0,Syracuse University
Heinz Schmitz,0,"Hochschule Trier, Trier, Germany"
Ioanna Lykourentzou,0,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Peter Tolmie,0,"Universität Siegen, University of Siegen, Siegen, Germany"
Rob Procter,0,"University of Warwick, Coventry, United Kingdom"
Mark Rouncefield,0,"Lancaster University, Lancaster, United Kingdom"
Maria Liakata,0,"University of Warwick, Coventry, United Kingdom"
Arkaitz Zubiaga,0,"University of Warwick, Coventry, United Kingdom"
Kiran Garimella,0,"Aalto University, Espoo, Finland"
Gianmarco De Francisci Morales,0,"Qatar Computing Research Institute, Doha, Qatar"
Aristides Gionis,0,"Aalto University, Espoo, Finland"
Michael Mathioudakis,0,"CNRS LIRIS 8 INSA Lyon, Lyon, France"
Weichen Liu,0,"University of California - San Diego, CA, USA"
Sijia Xiao,0,"Georgia Institute of Technology, GA, USA"
Jacob T. Browne,0,"University of California - San Diego, CA, USA"
Ming Yang,1,"Cornell University, NY, USA"
Steven P. Dow,0,"University of California - San Diego, CA, USA"
Fred Morstatter,0,"USC Information Sciences Institute, CA, USA"
Liang Wu 0006,0,"Arizona State University, AZ, USA"
Uraz Yavanoglu,0,"Gazi University, Turkey"
Stephen R. Corman,0,"Arizona State University, AZ, USA"
Huan Liu 0001,0,"Arizona State University, AZ, USA"
Elena Simperl,0,"University of Southampton, United Kingdom"
Neal Reeves,0,"University of Southampton, United Kingdom"
Chris Phethean,0,"University of Southampton, United Kingdom"
Todd Lynes,0,"University of Southampton, United Kingdom"
Ramine Tinati,0,University of Southampton
Chuan Shi,1,"Beijing University of Posts and Telecommunications, Beijing, China"
Jian Liu,1,"Beijing University of Posts and Telecommunications, Beijing, China"
Yiding Zhang,0,"Beijing University of Posts and Telecommunications, Beijing, China"
Binbin Hu,0,"Beijing University of Posts and Telecommunications, Beijing, China"
Shenghua Liu,0,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Philip S. Yu,0,"University of Illinois at Chicago, Chicago, USA"
Yla R. Tausczik,0,"University of Maryland - College Park, MD, USA"
Rosta Farzan,0,"University of Pittsburgh, PA, USA"
John M. Levine,0,"University of Pittsburgh, PA, USA"
Robert E. Kraut,0,"Carnegie Mellon University, PA, USA"
Lionel P. Robert,0,"University of Michigan, MI, USA"
Andrea Forte,0,"Drexel University, PA, USA"
Claudia Müller 0002,0,"University of Siegen, Siegen, NRW, Germany"
Michael Prilla,0,"Clausthal University of Technology, Clausthal-Zellerfeld, Lower Saxony, Germany"
Adriana S. Vivacqua,0,"Universidade Federal do Rio de Janeiro, UFRJ, RJ, Brazil"
Karim Jabbar,0,"University of Copenhagen, Emil Holms Kanal, København"
Pernille Bjørn,0,"University of Copenhagen, Emil Holms Kanal, København"
Xianqi Yu,0,"Shandong University, Jinan, China"
Yuqing Sun,0,"Shandong University, Jinan, China"
Elisa Bertino,0,"Purdue University, IN, USA"
Xin Li,1,"Shandong University, Jinan, China"
Steve T. K. Jan,0,"Virginia Tech, VA, USA"
Chun Wang,1,"Virginia Tech, VA, USA"
Qing Zhang,1,"Virginia Tech, VA, USA"
Gang Wang 0011,0,"Virginia Tech, VA, USA"
Darshan Santani,0,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Salvador Ruiz-Correa,0,"IPICYT, San Luis Potosi, SLP, Mexico"
Daniel Gatica-Perez,0,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Kevin Crowston,0,
Xuefei (Nancy) Deng,0,
Yoram M. Kalman,0,Open University of Israel
Susan Gasson,0,"Drexel University, PA, USA"
Michelle Purcell,0,"Drexel University, PA, USA"
Nargess Tahmasbi,0,"Pennsylvania State University, PA, USA"
Elham Rastegari,0,"University of Nebraska Omaha, NE, USA"
Morten Bay,0,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Yubo Kou,0,"Florida State University, FL, USA"
Colin M. Gray,0,"Purdue University, IN, USA"
Austin L. Toombs,0,"Purdue University, IN, USA"
Robin S. Adams,0,"Purdue University, IN, USA"
Jorge Saldivar,0,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Florian Daniel,0,"Politecnico di Milano, Italy"
Luca Cernuzzi,0,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Fabio Casati,0,"Università degli Studi di Trento, University of Trento, Italy and Tomsk Polytechnic University, Russia"
Salvador Ruiz-Correa,0,"Instituto Potosino de Investigación Científica y Tecnólogica (IPICYT), México"
Itzia Ruiz-Correa,0,"University of Guanajuato, México"
Carlo Olmos-Carrillo,0,"Huapango Media, México"
Fatima Alba Rendon-Huerta,0,"University of Guanajuato, México"
Beatriz Ramirez-Salazar,0,"University of Guanajuato, México"
Laurent Son Nguyen,0,"Idiap Research Institute, Switzerland"
Daniel Gatica-Perez,0,"Idiap Research Institute and Ecole Polytechnique Federal de Lausanne (EPFL), Switzerland"
Djellel Eddine Difallah,0,"New York University, NY, USA"
