Kevin Crowston
Heinz Schmitz
Ioanna Lykourentzou
Peter Tolmie
Rob Procter
Mark Rouncefield
Maria Liakata
Arkaitz Zubiaga
Kiran Garimella
Gianmarco De Francisci Morales
Aristides Gionis
Michael Mathioudakis
Weichen Liu
Sijia Xiao
Jacob T. Browne
Ming Yang
Steven P. Dow
Fred Morstatter
Liang Wu 0006
Uraz Yavanoglu
Stephen R. Corman
Huan Liu 0001
Elena Simperl
Neal Reeves
Chris Phethean
Todd Lynes
Ramine Tinati
Chuan Shi
Jian Liu
Yiding Zhang
Binbin Hu
Shenghua Liu
Philip S. Yu
Yla R. Tausczik
Rosta Farzan
John M. Levine
Robert E. Kraut
Lionel P. Robert
Andrea Forte
Claudia Müller 0002
Michael Prilla
Adriana S. Vivacqua
Karim Jabbar
Pernille Bjørn
Xianqi Yu
Yuqing Sun
Elisa Bertino
Xin Li
Steve T. K. Jan
Chun Wang
Qing Zhang
Gang Wang 0011
Darshan Santani
Salvador Ruiz-Correa
Daniel Gatica-Perez
Kevin Crowston
Xuefei (Nancy) Deng
Yoram M. Kalman
Susan Gasson
Michelle Purcell
Nargess Tahmasbi
Elham Rastegari
Morten Bay
Yubo Kou
Colin M. Gray
Austin L. Toombs
Robin S. Adams
Jorge Saldivar
Florian Daniel
Luca Cernuzzi
Fabio Casati
Salvador Ruiz-Correa
Itzia Ruiz-Correa
Carlo Olmos-Carrillo
Fatima Alba Rendon-Huerta
Beatriz Ramirez-Salazar
Laurent Son Nguyen
Daniel Gatica-Perez
Djellel Eddine Difallah
Alessandro Checco
Gianluca Demartini
Philippe Cudré-Mauroux
Tiago Santos
Simon Walk
Roman Kern
Markus Strohmaier
Denis Helic
Jin-Hee Cho
Scott Rager
John O'Donovan
Sibel Adali
Benjamin D. Horne
Oluwaseyi Feyisetan
Elena Simperl
Qunfang Wu
Yisi Sang
Yun Huang 0003
Lisa Posch
Arnim Bleier
Clemens Lechner
Daniel Danner
Fabian Flöck
Markus Strohmaier
Ahmed Mourad
Falk Scholer
Walid Magdy
Mark Sanderson
Yla R. Tausczik
Xiaoyun Huang
Darryl Wright
Lucy Fortson
Chris J. Lintott
Michael Laraia
Mike Walmsley
Andreas Kotsios
Matteo Magnani
Davide Vega
Luca Rossi 0003
Irina Shklovski
Xuefei (Nancy) Deng
Yoram M. Kalman
Abdur Rahim Mohammad Forkan
Philip Branch
Prem Prakash Jayaraman
Andre Ferretto
Marika Cifor
Patricia Garcia
Matthew Baucum
Jinshu Cui
Richard S. John
Anne Carolin Fleischmann
Jolanta Aritz
Peter W. Cardon
Kurt Luther
Andrea L. Kavanaugh
Jacob Thebault-Spieker
Judd Antin
Katie Z. Gach
Jed R. Brubaker
Helen S. Jones
Wendy Moncur
Emily Porter
P. M. Krafft
Brian Keegan
Ofer Arazy
Aron Lindberg
Shakked Lev
Kexian Wu
Alex Yarovoy
Sanjaya Wijeratne
Horacio Saggion
Emre Kiciman
Amit P. Sheth
Konstantin Kobs
Albin Zehe
Armin Bernstetter
Julian Chibane
Jan Pfister
Julian Tritscher
Andreas Hotho
Yunhe Feng
Zheng Lu 0005
Wenjun Zhou 0001
Zhibo Wang
Qing Cao
Joongyum Kim
Taesik Gong
Bogoan Kim
Jaeyeon Park
Woojeong Kim
Evey Huang
Kyungsik Han
Juho Kim
JeongGil Ko
Sung-Ju Lee
Susan C. Herring
Ashley R. Dainas
Alexander Robertson
Walid Magdy
Sharon Goldwater
Sarah Alismail
Hengwei Zhang
Ericsson Marin
Ruocheng Guo
Paulo Shakarian
Ian D. Wood
John Glover
Paul Buitelaar
Mohammad Al-Ramahi
Cherie Noteboom
Tianshu Lyu
Lidong Bing
Zhao Zhang
Yan Zhang 0004
Sajedul Rahim Talukder
Bogdan Carbunar
Daniel Franzmann
Arvid Alexander Eichner
Roland Holten
Lucas Santos de Oliveira
Pedro O. S. Vaz de Melo
Marcelo S. Amaral
José Antônio G. Pinho
Pamela J. Wisniewski
Karla A. Badillo-Urquiola
Zahra Ashktorab
Jessica Vitak
Alex Yarovoy
Yiftach Nagar
Einat Minkov
Ofer Arazy
Joshua M. Chamberlain
Francesca Spezzano
Jaclyn J. Kettler
Bogdan Dit
Amro Khasawneh
Kapil Chalil Madathil
Heidi Zinzow
Pamela J. Wisniewski
Amal Ponathil
Hunter Rogers
Sruthy Agnisarman
Rebecca Roth
Meera Narasimhan
Milad Mirbabaie
Felix Brünker
Magdalena Wischnewski
Judith Meinert
Jani Holopainen
Osmo Mattila
Petri Parvinen
Essi Pöyry
Tuure Tuunanen
Sandeep Purao
David M. Murungi
David J. Yates
Simo Järvelä
Benjamin Cowley 0001
Mikko Salminen
Giulio Jacucci
Juho Hamari
Niklas Ravaja
David W. McDonald
Mark Zachry
Frank L. Greitzer
Wanru Li
Kathryn B. Laskey
James D. Lee
Justin Purl
