name,affiliation
A Carolin Fleischmann,University of Southern California
Ahmed Mourad,RMIT University
Alessandro Checco,University of Sheffield
Alexander G Yarovoy,University of Haifa
Alexander Robertson,University of Edinburgh
Amal Ponathil,Clemson University
Amro Khasawneh,Johns Hopkins University
Andrea Forte,Drexel University
Andrea Kavanaugh,Virginia Tech
Andreas Kotsios,Uppsala University
Aristides Gionis,Aalto University
Arkaitz Zubiaga,University of Warwick
Aron Lindberg,Stevens Institute of Technology
Arvid Eichner,Goethe University Frankfurt
Austin Toombs,Purdue University
Ben Cowley,University of Helsinki
Benjamin D Horne,Rensselaer Polytechnic Institute
Chris Lintott,University of Oxford
Christopher Phethean,University of Southampton
Chun Wang,Virginia Tech
Claudia Müller,University of Siegen
Colin M. Gray,Purdue University
Daniel Franzmann,Goethe University Frankfurt
Darryl E Wright,University of Minnesota
David Wright McDonald,University of Washington
Davide Vega,Uppsala University
Denis Helic,Graz University of Technology
Djellel Eddine Difallah,New York University
E. Bertino,Purdue University
Einat Minkov,University of Haifa
Elena Paslaru Bontas Simperl,University of Southampton
Emily Porter,University of Washington
Ericsson Santana Marin,Arizona State University
Essi Pöyry,University of Helsinki
Evey Huang,Northwestern University
Falk Scholer,RMIT University
Felix Brünker,University of Duisburg-Essen
Florian Daniel,Politecnico di Milano
Gang Wang,Virginia Tech
Gianluca Demartini,University of Queensland
Gianmarco de Morales,Qatar Computing Research Institute
Giulio Iacucci,University of Helsinki
Heidi Zinzow,Clemson University
Huan Liu,Arizona State University
Hunter Rogers,Clemson University
Jacob T. Browne,University of California - San Diego
Jacob Thebault-Spieker,Virginia Tech
James Lee,George Mason University
Jani Holopainen,University of Helsinki
Jed R. Brubaker,University of Colorado Boulder
JeongGil Ko,Yonsei University
Jinshu Cui,University of Southern California
John M Levine,University of Pittsburgh
John O’Donovan,University of California - Santa Barbara
Jolanta Aritz,University of Southern California
Joongyum Kim,KAIST
Judith Meinert,University of Duisburg-Essen
Juho Kim,KAIST
Kapil Chalil Madathil,Clemson University
Karim Jabbar,University of Copenhagen
Karla A. Badillo-Urquiola,University of Central Florida
Kathryn Blackmond Laskey,George Mason University
Katie Z. Gach,University of Colorado Boulder
Kexian Wu,Stevens Institute of Technology
Kiran Garimella,Aalto University
Kurt Luther,Virginia Tech
Liang Wu,Arizona State University
Lionel Peter Robert,University of Michigan
Lucy Fortson,University of Minnesota
Magdalena Wischnewski,University of Duisburg-Essen
Maria Liakata,University of Warwick
Marika Cifor,University of Washington
Mark Rouncefield,Lancaster University
Mark Sanderson,RMIT University
Mark Zachry,University of Washington
Matteo Magnani,Uppsala University
Matthew Baucum,University of Southern California
Michael Laraia,University of Minnesota
Michelle Purcelle,Drexel University
Mike Walmsley,University of Oxford
Milad Mirbabaie,University of Bremen
Ming Yang,Cornell University
Nargess Tahmasbi,Pennsylvania State University
Neal T Reeves,University of Southampton
Niklas Ravaja,University of Helsinki
Ofer Arazy,University of Haifa
Oluwaseyi Feyisetan,University of Southampton
Pamela J. Wisniewski,University of Central Florida
Patricia Garcia,University of Michigan
Paulo Shakarian,Arizona State University
Pernille Bjørn,University of Copenhagen
Peter M Krafft,University of Oxford
Peter W Cardon,University of Southern California
Petri Parvinen,Aalto University
Philip S Yu,University of Illinois at Chicago
Qing Cao,University of Tennessee
Qing Zhang,Virginia Tech
Ramine Tinati,University of Southampton
Rebecca Roth,Clemson University
Richard S John,University of Southern California
Rob Procter,University of Warwick
Robert E. Kraut,Carnegie Mellon University
Robin S Adams,Purdue University
Roland Holten,Goethe University Frankfurt
Rosta Farzan,University of Pittsburgh
Ruocheng Guo,Arizona State University
Shakked Lev,University of Haifa
Sharon J Goldwater,University of Edinburgh
Shenghua Liu,Chinese Academy of Sciences
Sibel Adalı,Rensselaer Polytechnic Institute
Sijia Xiao,Georgia Institute of Technology
Simo Järvelä,University of Helsinki
Sruthy Agnisarman,Clemson University
Steve Jan,Virginia Tech
Steven Dow,University of California - San Diego
Steven R Corman,Arizona State University
Sung-Ju Lee,KAIST
Susan Gasson,Drexel University
Taesik Gong,KAIST
Tiago Santos,Graz University of Technology
Tianshu Lyu,Peking University
Todd Lynes,University of Southampton
Walid Magdy,University of Edinburgh
Wanru Li,George Mason University
Weichen Liu,University of California - San Diego
Wendy Moncur,University of Dundee
Wenjun Zhou,University of Tennessee
Xianqi Yu,Shandong University
Xiaoyun Huang,University of Maryland - College Park
Xin Li,Shandong University
Yan Zhang,Peking University
Yiftach Nagar,University of Haifa
Yla R Tausczik,University of Maryland - College Park
Yubo Kou,Florida State University
Yunhe Feng,University of Tennessee
Yuqing Sun,Shandong University
Zheng Lu,University of Tennessee
Zhibo Wang,Wuhan University
