name,affiliation
A. Hotho,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Abdur Rahim Mohammad Forkan,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Adriana Santarosa Vivacqua,"Universidade Federal do Rio de Janeiro, RJ, Brazil"
Albin Zehe,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Amit P. Sheth,"Artificial Intelligence Institute, University of South Carolina, SC, USA"
Andre Ferretto,"SP Tech Solutions, Hawthorn, VIC, Australia"
Armin Bernstetter,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Arnim Bleier,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Ashley R Dainas,"University of Indiana Bloomington, IN, USA"
Beatriz Ramirez-Salazar,"University of Guanajuato, México"
Binbin Hu,"Beijing University of Posts and Telecommunications, Beijing, China"
Bogdan Carbunar,"Florida International University, USA"
Bogdan Dit,"Boise State University, Boise"
Bogoan Kim,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Brian C. Keegan,"University of Colorado, Boulder, CO, USA"
Carlo Olmos-Carrillo,"Huapango Media, México"
Cherie Bakker Noteboom,"College of Business & Information Systems, Dakota State University, Madison, SD, USA"
Chuan Shi,"Beijing University of Posts and Telecommunications, Beijing, China"
Clemens M Lechner,"GESIS--Leibniz Institute for the Social Sciences, Mannheim, Germany"
Daniel Danner,"University of Applied Labour Studies, Mannheim, Germany"
Daniel Gatica-Perez,"Idiap Research Institute and Ecole Polytechnique Federal de Lausanne (EPFL), Switzerland"
Darshan Santani,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
David M Murungi,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
David Yates,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
Elham Rastegari,"University of Nebraska Omaha, NE, USA"
Emre Kıcıman,"Microsoft Research AI, WA, USA"
Fabian Flöck,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Fabio Casati,"Università degli Studi di Trento, Italy and Tomsk Polytechnic University, Russia"
Fatima Alba Rendón-Huerta,"University of Guanajuato, México"
Francesca Spezzano,"Boise State University, Boise"
Frank L Greitzer,"PsyberAnalytix, Richland, WA USA"
Fred Morstatter,"USC Information Sciences Institute, CA, USA"
Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Helen S Jones,"School of Psychology, University of Central Lancashire, Preston, UK"
Hengwei Zhang,"Claremont Graduate University, CA, USA"
Horacio Saggion,"Universitat Pompeu Fabra, Barcelona, Spain"
Ian D Wood,"Macquarie Univeristy, Balaclava Road, North Ryde, NSW, Australia"
Ioanna Lykourentzou,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Irina Shklovski,"IT University Copenhagen, Copenhagen Denmark"
Itzia Ruiz-Correa,"University of Guanajuato, México"
Jaclyn J Kettler,"Boise State University, Boise"
Jaeyeon Park,"Yonsei university, YeonsuGu, Incheon, Republic of Korea"
Jan Pfister,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Jessica Vitak,"University of Maryand, College Park, MD"
Jian Liu,"Beijing University of Posts and Telecommunications, Beijing, China"
Jin-hee Cho,"Virginia Polytechnic Institute and State University, VA, USA"
John Glover,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Jorge Saldivar,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Joshua M Chamberlain,"Boise State University, Boise"
José Antônio Pinho,Federal University of Bahia
Judd Antin,"Airbnb, USA"
Juho Hamari,"Tampere University, Finland"
Julian Chibane,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Julian Tritscher,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Justin Purl,Human Resources Research Organization
Kevin Crowston,
Konstantin Kobs,"Julius-Maximilians-University Würzburg, Würzburg, Germany"
Kyungsik Han,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Laurent Son Nguyen,"Idiap Research Institute, Switzerland"
Lidong Bing,"DAMO Academy, Alibaba Group"
Lisa Posch,"GESIS--Leibniz Institute for the Social Sciences, Germany and Graz University of Technology, Graz, Austria"
Luca Cernuzzi,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Luca Rossi,"IT University Copenhagen, Copenhagen Denmark"
Lucas Santos Oliveira,Federal University of Minas Gerais
M. Strohmaier,"RWTH Aachen University, Germany and GESIS -- Leibniz Institute for the Social Sciences, Cologne, Germany"
Marcelo S Amaral,State University of Southwestern of Bahia
Meera Narasimhan,"University of South Carolina, Columbia, SC"
Michael Mathioudakis,"CNRS LIRIS 8 INSA Lyon, Lyon, France"
Michael Prilla,"Clausthal University of Technology, Clausthal-Zellerfeld, Lower Saxony, Germany"
Mikko Salminen,"Tampere University, Finland"
Mohammad A Al-Ramahi,"College of Business, Texas A&M-San Antonio, San Antonio, TX, USA"
Morten Bay,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Osmo Mattila,"University of Eastern Finland, Yliopistokatu, Joensuu Finland"
Paul Buitelaar,"National University of Ireland Galway, University Road, Galway, Ireland"
Pedro Olmo Stancioli Vaz-De-Melo,Federal University of Minas Gerais
Peter David Tolmie,"Universität Siegen, Siegen, Germany"
Philip A Branch,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Philippe Cudré-Mauroux,"University of Fribourg, Fribourg, Switzerland"
Prem Prakash Jayaraman,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Qunfang Wu,"Syracuse University, NY, USA"
Roman Kern,"Graz University of Technology 8 Know-Center, Graz, Austria"
Sajedul Talukder,"Edinboro University, USA"
Salvador Ruiz-Correa,"Instituto Potosino de Investigación Científica y Tecnólogica (IPICYT), México"
Sandeep Purao,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
Sanjaya Wijeratne,"Holler Technologies, Inc., CA, USA"
Sarah Alismail,"Claremont Graduate University, CA, USA"
Scott Rager,"Raytheon BBN Technologies, MA, USA"
Simon Walk,"Detego GmbH, Graz, Austria"
Susan C Herring,"University of Indiana Bloomington, IN, USA"
Timo Tuunanen,University of Jyväskylä
Uraz Yavanoglu,"Gazi University, Turkey"
Walid Magdy,"School of Informatics, The University of Edinburgh, Crichton Street, Edinburgh, United Kingdom"
Woojeong Kim,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Xuefei (Nancy) Deng,"California State University, CA, USA"
Yiding Zhang,"Beijing University of Posts and Telecommunications, Beijing, China"
Yisi Sang,"Syracuse University, NY, USA"
Yoram M Kalman,Open University of Israel
Yun Huang,"Syracuse University, NY, USA"
Zahra Ashtorab,"IBM Research AI, Yorktown Heights, NY"
Zhao Zhang,Kwai Inc.
