Kevin Crowston,Syracuse University
Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Ioanna Lykourentzou,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Peter David Tolmie,"Universität Siegen, Siegen, Germany"
ROB PROCTER,"University of Warwick, Coventry, United Kingdom"
Mark Rouncefield,"Lancaster University, Lancaster, United Kingdom"
Maria Liakata,"University of Warwick, Coventry, United Kingdom"
Arkaitz Zubiaga,"University of Warwick, Coventry, United Kingdom"
Kiran Garimella,"Aalto University, Espoo, Finland"
Gianmarco de Morales,"Qatar Computing Research Institute, Doha, Qatar"
Aristides Gionis,"Aalto University, Espoo, Finland"
Michael Mathioudakis,"CNRS LIRIS 8 INSA Lyon, Lyon, France"
