name,affiliation
Abdur Rahim Mohammad Forkan,Swinburne University of Technology
Adriana S. Vivacqua,UFRJ
Ahmed Mourad,Massachusetts Institute of Technology
Albin Zehe,Julius Maximilians University Würzburg
Alessandro Checco,University of Sheffield
Alex Yarovoy,University of Haifa
Alexander Robertson,University of Edinburgh
Amal Ponathil,Clemson University
Amit P. Sheth,University of South Carolina
Amro Khasawneh,Johns Hopkins University
Andrea Forte,Drexel University
Andrea L. Kavanaugh,Virginia Tech
Andreas Hotho,Julius Maximilians University Würzburg
Andreas Kotsios,Uppsala University
Anne Carolin Fleischmann,University of Southern California
Aristides Gionis,Aalto University
Arkaitz Zubiaga,University of Warwick
Armin Bernstetter,Julius Maximilians University Würzburg
Aron Lindberg,Stevens Institute of Technology
Arvid Alexander Eichner,Goethe University Frankfurt
Ashley R. Dainas,University of Indiana Bloomington
Austin L. Toombs,Purdue University
Beatriz Ramirez-Salazar,University of Guanajuato
Benjamin Cowley 0001,University of Helsinki
Benjamin D. Horne,Rensselaer Polytechnic Institute
Binbin Hu,Beijing University of Posts and Telecommunications
Bogdan Carbunar,Florida International University
Bogdan Dit,Boise State University
Bogoan Kim,Ajou University
Brian Keegan,University of Colorado
Cherie Noteboom,Dakota State University
Chris J. Lintott,University of Oxford
Chris Phethean,University of Southampton
Chuan Shi,Beijing University of Posts and Telecommunications
Chun Wang,Virginia Tech
Claudia Müller 0002,University of Siegen
Colin M. Gray,Purdue University
Daniel Danner,University of Applied Labour Studies
Daniel Franzmann,Goethe University Frankfurt
Daniel Gatica-Perez,EPFL
Darryl Wright,University of Minnesota
Darshan Santani,Idiap Research Institute
David J. Yates,Bentley University
David M. Murungi,Bentley University
David W. McDonald,University of Washington
Davide Vega,Uppsala University
Denis Helic,Graz University of Technology
Djellel Eddine Difallah,York University
Einat Minkov,University of Haifa
Elena Simperl,University of Southampton
Elham Rastegari,University of Nebraska Omaha
Elisa Bertino,Purdue University
Emily Porter,University of Washington
Emre Kiciman,Microsoft
Ericsson Marin,Arizona State University
Essi Pöyry,University of Helsinki
Evey Huang,Northwestern University
Fabio Casati,University of Trento
Falk Scholer,Massachusetts Institute of Technology
Fatima Alba Rendon-Huerta,University of Guanajuato
Felix Brünker,University of Duisburg-Essen
Florian Daniel,Politecnico di Milano
Francesca Spezzano,Boise State University
Gang Wang 0011,Virginia Tech
Gianluca Demartini,University of Queensland
Gianmarco De Francisci Morales,Qatar Computing Research Institute
Giulio Jacucci,University of Helsinki
Heidi Zinzow,Clemson University
Helen S. Jones,University of Central Lancashire
Hengwei Zhang,Claremont Graduate University
Horacio Saggion,Universitat Pompeu Fabra
Huan Liu 0001,Arizona State University
Hunter Rogers,Clemson University
Ian D. Wood,Macquarie Univeristy
Irina Shklovski,IT University Copenhagen
Itzia Ruiz-Correa,University of Guanajuato
Jaclyn J. Kettler,Boise State University
Jacob T. Browne,University of California - San Diego
Jacob Thebault-Spieker,Virginia Tech
Jaeyeon Park,Yonsei university
James D. Lee,George Mason University
Jan Pfister,Julius Maximilians University Würzburg
Jani Holopainen,University of Helsinki
Jed R. Brubaker,University of Colorado
JeongGil Ko,Yonsei University
Jessica Vitak,University of Maryland - College Park
Jian Liu,Beijing University of Posts and Telecommunications
Jin-Hee Cho,Virginia Polytechnic Institute and State University
Jinshu Cui,University of Southern California
John M. Levine,University of Pittsburgh
John O'Donovan,University of California - Santa Barbara
Jolanta Aritz,University of Southern California
Joongyum Kim,KAIST
Joshua M. Chamberlain,Boise State University
José Antônio G. Pinho,Federal University of Bahia
Judd Antin,Airbnb
Judith Meinert,University of Duisburg-Essen
Juho Hamari,Tampere University
Juho Kim,KAIST
Julian Chibane,Julius Maximilians University Würzburg
Julian Tritscher,Julius Maximilians University Würzburg
Kapil Chalil Madathil,Clemson University
Karim Jabbar,University of Copenhagen
Karla A. Badillo-Urquiola,University of Central Florida
Kathryn B. Laskey,George Mason University
Katie Z. Gach,University of Colorado
Kevin Crowston,Syracuse University
Kexian Wu,Stevens Institute of Technology
Kiran Garimella,Aalto University
Konstantin Kobs,Julius Maximilians University Würzburg
Kurt Luther,Virginia Tech
Kyungsik Han,Ajou University
Laurent Son Nguyen,Idiap Research Institute
Liang Wu 0006,Arizona State University
Lionel P. Robert,University of Michigan
Lisa Posch,Graz University of Technology
Luca Rossi 0003,IT University Copenhagen
Lucas Santos de Oliveira,Federal University of Minas Gerais
Lucy Fortson,University of Minnesota
Magdalena Wischnewski,University of Duisburg-Essen
Marcelo S. Amaral,State University of Southwestern of Bahia
Maria Liakata,University of Warwick
Marika Cifor,University of Washington
Mark Rouncefield,Lancaster University
Mark Sanderson,Massachusetts Institute of Technology
Mark Zachry,University of Washington
