name,affiliation
Abhijit Chakraborty,University of Hyogo
Adam Boessen,University of Missouri
Adam Goodie,University of Georgia
Adam R. Roth,Indiana University
Aditya S. Khanna,University of Chicago
Adrian E. Raftery,University of Washington
Adriana P. A. van Beek,NIVEL: Netherlands Institute for Health Services Research
Aili Malm,California State University at Long Beach
Ajay Mehra,University of Kent
Alain Barrat,CNRS
Alain Degenne,CNRS
Alayne M. Adams,Columbia University
Alberto Aziani,Università Cattolica del Sacro Cuore
Alberto Caimo,Technological University Dublin
Alden S. Klovdahl,Australian National University
Alejandro Arnulfo Ruiz-León,National Autonomous University of Mexico
Alejandro Rivero,University of Zaragoza
Ales Ziberna,University of Ljubljana
Alessandro Lomi,University of Italian Switzerland
Alessandro Spelta,Catholic University
Alessio D'Angelo,Middlesex University
Alex D. Stivala,University of Melbourne
Alexander G. Nikolaev,State University of New York at Buffalo
Alexander Gutfraind,University of Illinois at Chicago
Alexander Veremyev,University of Florida
Alexandra Marin,University of Toronto
Alexandre Hannud Abdo,University of São Paulo
Alexia Gaudeul,Max Planck Institute
Alfredo Jose Morales,Polytechnic University of Madrid
Alina Lungeanu,Pennsylvania State University
Alistair G. Sutcliffe,University of Manchester
Allison B. Duke,Lipscomb University
Alon Bartal,Ben Gurion University of the Negev
Alyssa M. Yetter,Pennsylvania State University
Amalya L. Oliver,The Hebrew University
Ami R. Moore,University of North Texas
Amy Hukin,University of Sheffield
An Boeren,University of Leuven
Ana Salomé García Muñiz,University of Oviedo
Anand E. Sokhey,University of Colorado
Anatoliy A. Gruzd,Dalhousie University
Andrea Austin,Brown University
Andrea Baronchelli,City University London
Andrea Flori,Politecnico di Milano
Andrea M. Hussong,University of North Carolina
Andrea Passarella,Institute of Informatics and Telematics of CNR
Andrea Röper,Utrecht University
Andreas Flache,University of Groningen
Andreas Geyer-Schulz,University of Groningen
Andreas Herz,University of Hildesheim
Andreas Tutic,University of Leipzig
Andreas Wimmer,University of California - Los Angeles
Andrej Mrvar,University of Ljubljana
Andrew J. Slaughter,US Army Research Institute for the Behavioral and Social Sciences
Andrew Parker 0003,University of Exeter
Andrew Slaughter,US Army Research Institute for the Behavioral and Social Sciences
