Kevin Crowston,Syracuse University
Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Ioanna Lykourentzou,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Peter Tolmie,"Universität Siegen, University of Siegen, Siegen, Germany"
Rob Procter,"University of Warwick, Coventry, United Kingdom"
Mark Rouncefield,"Lancaster University, Lancaster, United Kingdom"
Maria Liakata,"University of Warwick, Coventry, United Kingdom"
Arkaitz Zubiaga,"University of Warwick, Coventry, United Kingdom"
Kiran Garimella,"Aalto University, Espoo, Finland"
Gianmarco De Francisci Morales,"Qatar Computing Research Institute, Doha, Qatar"
Aristides Gionis,"Aalto University, Espoo, Finland"
Michael Mathioudakis,"CNRS LIRIS 8 INSA Lyon, Lyon, France"
Weichen Liu,"University of California - San Diego, CA, USA"
Sijia Xiao,"Georgia Institute of Technology, GA, USA"
Jacob T. Browne,"University of California - San Diego, CA, USA"
Ming Yang,"Cornell University, NY, USA"
Steven P. Dow,"University of California - San Diego, CA, USA"
Fred Morstatter,"USC Information Sciences Institute, CA, USA"
Liang Wu 0006,"Arizona State University, AZ, USA"
Uraz Yavanoglu,"Gazi University, Turkey"
Stephen R. Corman,"Arizona State University, AZ, USA"
Huan Liu 0001,"Arizona State University, AZ, USA"
Elena Simperl,"University of Southampton, United Kingdom"
Neal Reeves,"University of Southampton, United Kingdom"
Chris Phethean,"University of Southampton, United Kingdom"
Todd Lynes,"University of Southampton, United Kingdom"
Ramine Tinati,University of Southampton
Chuan Shi,"Beijing University of Posts and Telecommunications, Beijing, China"
Jian Liu,"Beijing University of Posts and Telecommunications, Beijing, China"
Yiding Zhang,"Beijing University of Posts and Telecommunications, Beijing, China"
Binbin Hu,"Beijing University of Posts and Telecommunications, Beijing, China"
Shenghua Liu,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Philip S. Yu,"University of Illinois at Chicago, Chicago, USA"
Yla R. Tausczik,"University of Maryland - College Park, MD, USA"
Rosta Farzan,"University of Pittsburgh, PA, USA"
John M. Levine,"University of Pittsburgh, PA, USA"
Robert E. Kraut,"Carnegie Mellon University, PA, USA"
Lionel P. Robert,"University of Michigan, MI, USA"
Andrea Forte,"Drexel University, PA, USA"
Claudia Müller 0002,"University of Siegen, Siegen, NRW, Germany"
Michael Prilla,"Clausthal University of Technology, Clausthal-Zellerfeld, Lower Saxony, Germany"
Adriana S. Vivacqua,"Universidade Federal do Rio de Janeiro, UFRJ, RJ, Brazil"
Karim Jabbar,"University of Copenhagen, Emil Holms Kanal, København"
Pernille Bjørn,"University of Copenhagen, Emil Holms Kanal, København"
Xianqi Yu,"Shandong University, Jinan, China"
Yuqing Sun,"Shandong University, Jinan, China"
Elisa Bertino,"Purdue University, IN, USA"
Xin Li,"Shandong University, Jinan, China"
Steve T. K. Jan,"Virginia Tech, VA, USA"
Chun Wang,"Virginia Tech, VA, USA"
Qing Zhang,"Virginia Tech, VA, USA"
Gang Wang 0011,"Virginia Tech, VA, USA"
Darshan Santani,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Salvador Ruiz-Correa,"IPICYT, San Luis Potosi, SLP, Mexico"
Daniel Gatica-Perez,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Kevin Crowston,
Xuefei (Nancy) Deng,
Yoram M. Kalman,Open University of Israel
Susan Gasson,"Drexel University, PA, USA"
Michelle Purcell,"Drexel University, PA, USA"
Nargess Tahmasbi,"Pennsylvania State University, PA, USA"
Elham Rastegari,"University of Nebraska Omaha, NE, USA"
Morten Bay,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Yubo Kou,"Florida State University, FL, USA"
Colin M. Gray,"Purdue University, IN, USA"
Austin L. Toombs,"Purdue University, IN, USA"
Robin S. Adams,"Purdue University, IN, USA"
Jorge Saldivar,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Florian Daniel,"Politecnico di Milano, Italy"
Luca Cernuzzi,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Fabio Casati,"Università degli Studi di Trento, University of Trento, Italy and Tomsk Polytechnic University, Russia"
Salvador Ruiz-Correa,"Instituto Potosino de Investigación Científica y Tecnólogica (IPICYT), México"
Itzia Ruiz-Correa,"University of Guanajuato, México"
Carlo Olmos-Carrillo,"Huapango Media, México"
Fatima Alba Rendon-Huerta,"University of Guanajuato, México"
Beatriz Ramirez-Salazar,"University of Guanajuato, México"
Laurent Son Nguyen,"Idiap Research Institute, Switzerland"
Daniel Gatica-Perez,"Idiap Research Institute and Ecole Polytechnique Federal de Lausanne (EPFL), Switzerland"
Djellel Eddine Difallah,"New York University, NY, USA"
Alessandro Checco,"University of Sheffield, Sheffield, United Kingdom"
Gianluca Demartini,"University of Queensland, Brisbane, Australia"
Philippe Cudré-Mauroux,"University of Fribourg, Fribourg, Switzerland"
Tiago Santos,"Graz University of Technology, Graz, Austria"
Simon Walk,"Detego GmbH, Graz, Austria"
Roman Kern,"Graz University of Technology 8 Know-Center, Graz, Austria"
Markus Strohmaier,"RWTH Aachen University 8 GESIS, Aachen, Germany"
Denis Helic,"Graz University of Technology, Graz, Austria"
Jin-Hee Cho,"Virginia Polytechnic Institute and State University, VA, USA"
Scott Rager,"Raytheon BBN Technologies, MA, USA"
John O'Donovan,"University of California - Santa Barbara, California, USA"
Sibel Adali,"Rensselaer Polytechnic Institute, NY, USA"
Benjamin D. Horne,"Rensselaer Polytechnic Institute, NY, USA"
Oluwaseyi Feyisetan,"University of Southampton, UK"
Elena Simperl,"University of Southampton, UK"
Qunfang Wu,"Syracuse University, NY, USA"
Yisi Sang,"Syracuse University, NY, USA"
Yun Huang 0003,"Syracuse University, NY, USA"
Lisa Posch,"GESIS--Leibniz Institute for the Social Sciences, Germany and Graz University of Technology, Graz, Austria"
Arnim Bleier,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Clemens Lechner,"GESIS--Leibniz Institute for the Social Sciences, Mannheim, Germany"
Daniel Danner,"University of Applied Labour Studies, Mannheim, Germany"
Fabian Flöck,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Markus Strohmaier,"RWTH Aachen University, Germany and GESIS -- Leibniz Institute for the Social Sciences, Cologne, Germany"
Ahmed Mourad,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Falk Scholer,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Walid Magdy,"School of Informatics, The University of Edinburgh, Crichton Street, Edinburgh, United Kingdom"
Mark Sanderson,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Yla R. Tausczik,"University of Maryland - College Park, MD, USA"
Xiaoyun Huang,"University of Maryland - College Park, MD, USA"
Darryl Wright,"University of Minnesota, MN, USA"
Lucy Fortson,"University of Minnesota, MN, USA"
Chris J. Lintott,"University of Oxford, UK"
Michael Laraia,"University of Minnesota, MN, USA"
Mike Walmsley,"University of Oxford, UK"
Andreas Kotsios,"Uppsala University, Uppsala, Sweden"
Matteo Magnani,"Uppsala University, Uppsala, Sweden"
Davide Vega,"Uppsala University, Uppsala, Sweden"
Luca Rossi 0003,"IT University Copenhagen, Copenhagen Denmark"
Irina Shklovski,"IT University Copenhagen, Copenhagen Denmark"
Xuefei (Nancy) Deng,"California State University, CA, USA"
Yoram M. Kalman,Open University of Israel
Abdur Rahim Mohammad Forkan,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Philip Branch,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Prem Prakash Jayaraman,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Andre Ferretto,"SP Tech Solutions, Hawthorn, VIC, Australia"
Marika Cifor,"University of Washington, Seattle, Washington, USA"
Patricia Garcia,"University of Michigan, Ann Arbor, Washington, USA"
Matthew Baucum,"University of Southern California, Los Angeles, CA, USA"
Jinshu Cui,"University of Southern California, Los Angeles, CA, USA"
Richard S. John,"University of Southern California, Los Angeles, CA, USA"
