Charlie Catlett,Argonne National Laboratory
Peter H. Beckman,Argonne National Laboratory
Nicola J. Ferrier,Argonne National Laboratory
Howard C. Nusbaum,University of Chicago
Michael E. Papka,Argonne National Laboratory
Marc G. Berman,University of Chicago
Rajesh Sankaran,Argonne National Laboratory
Yu-Sung Su,Tsinghua University
Yanqin Ruan,Tsinghua University
Siyu Sun,Tsinghua University
Jar-Der Luo,Tsinghua University
Kunhao Yang,University of Tokyo
Xiaoming Fu 0001,University of Göttingen
Weiwei Gu,Beijing University of Chemical Technology
Kiran Garimella,Massachusetts Institute of Technology
Robert West 0001,EPFL
Alex Pentland,Massachusetts Institute of Technology
Nick Rogers,Stony Brook University
Jason J. Jones,Stony Brook University
Philip D. Waggoner,Columbia University
Hong Xiong,Beijing Normal University
Weiwei Gu,Beijing Normal University
Ruiqi Li,Beijing University of Chemical Technology
Yihan Ma,Fudan University
Yang Chen 0001,Fudan University
Jiayun Zhang,Fudan University
Yang Xu 0010,Fudan University
Pan Hui 0001,University of Helsinki
Yufan Dong,University of Göttingen
Xiaoming Fu 0001,University of Göttingen
Lu Hong,Loyola University Chicago
P. J. Lamberson,University of California - Los Angeles
Scott E. Page,University of Michigan
Cheng Yang 0002,Beijing University of Posts and Telecommunications
Xuanming Zhang,Tsinghua University
Zhiyuan Liu 0001,Tsinghua University
Jianbin Jin,Tsinghua University
Philip D. Waggoner,Columbia University
Robert Y. Shapiro,Columbia University
Samuel Frederick,Columbia University
Chenting Jiang,University of Tasmania
Anthony D'Arienzo,University of Illinois at Urbana-Champaign
Shiqing Wu,University of Tasmania
Quan Bai,University of Tasmania
Xupin Zhang,University of Rochester
Hanjia Lyu,University of Rochester
Jiebo Luo,University of Rochester
Guodong Ju,London School of Economics and Political Science
Jiankun Liu,Harbin Engineering University
Guangye He,Nanjing University
