name,affiliation
Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Salvador Ruiz-Correa,"IPICYT, San Luis Potosi, SLP, Mexico"
Kevin Crowston,
Xuefei (Nancy) Deng,"California State University, CA, USA"
Morten Bay,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Carlo Olmos-Carrillo,"Huapango Media, México"
Scott Rager,"Raytheon BBN Technologies, MA, USA"
Sanjaya Wijeratne,"Holler Technologies, Inc., CA, USA"
John Glover,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Zhao Zhang,Kwai Inc.
Frank L. Greitzer,"PsyberAnalytix, Richland, WA USA"
Justin Purl,Human Resources Research Organization
