John Scott,"University of Plymouth, Plymouth, UK"
Devan Rosen,"Department of Speech, University of Hawaii, Honolulu, USA"
Jang-Hyun Kim 0001,"Department of Speech, University of Hawaii, Honolulu, USA"
Dalhia Mani,"HEC Paris, Jouy en Josas, France"
Nasrullah Memon,"Department of Computer Science, Global University, Beirut, Lebanon"
Fabien Jourdan,"INRA, UMR1089, Toulouse, France"
Benedikt Meuthrath,"Freie Universität Berlin, Berlin, Germany"
Anne Baumgraß,"Vienna University of Economics and Business, Vienna, Austria"
Janette Lehmann,"ISI Foundation, Turin, Italy"
Ilham Esslimani,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Armelle Brun,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Anne Boyer,"KIWI Team-LORIA, Nancy University, Villers-Lès-Nancy, France"
Mohamad Nagi,"Department of Computing, School of Computing Informatics and Media, University of Bradford, Bradford, UK"
Radwan Tahboub,"Department of Electrical and Computer Engineering, Palestine Polytechnic University, Hebron, Palestinian Authority"
Mick J. Ridley,"Department of Computing, School of Computing Informatics and Media, University of Bradford, Bradford, UK"
Robert Wyatt,"The Office of Distance Learning, Division of Extended Learning and Outreach, Western Kentucky University, Bowling Green, USA"
Mehmet Kayaalp 0001,"Department of Computer Engineering, TOBB Economics and Technology University, Ankara, Turkey"
Tansel Özyer,"Department of Computer Engineering, TOBB Economics and Technology University, Ankara, Turkey"
Sibel Tariyan Özyer,"Department of Computer Engineering, Çankaya University, Ankara, Turkey"
M. Saravanan 0003,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Garigipati Prasad,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Karishma Karishma,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
D. Suganthi,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Sofus A. Macskassy,"Fetch Technologies, El Segundo, USA"
Nayer M. Wanas,"Department of Informatics, Electronics Research Institute, Giza, Egypt"
John Yearwood,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Musa A. Mammadov,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Dean Webb,"Graduate School of ITMS, University of Ballarat, Ballarat, Australia"
Stéphane Peters,"LIP6, University Pierre et Marie Curie, Paris, France"
Yann Jacob,"LIP6, University Pierre et Marie Curie, Paris, France"
Ludovic Denoyer,"LIP6, University Pierre et Marie Curie, Paris, France"
Joel Brynielsson,"Swedish Defence Research Agency, Stockholm, Sweden"
Lisa Kaati,"Swedish Defence Research Agency, Stockholm, Sweden"
Pontus Svenson,"Swedish Defence Research Agency, Stockholm, Sweden"
Justus Bross,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Keven Richly,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Matthias Kohnen,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Christoph Meinel,"FG Internet Technologies and Systems, Hasso-Plattner-Institut, Potsdam, Germany"
Alessandro Cucchiarelli,"DIIGA, Università Politecnica delle Marche, Ancona, Italy"
Fulvio D'Antonio,"DIIGA, Università Politecnica delle Marche, Ancona, Italy"
Fernando Ferri,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Patrizia Grifoni,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Tiziana Guzzo,"CNR-IRPPS, National Research Council, Institute of Research on Population and Social Policies, Rome, Italy"
Lei Tang 0001,"Yahoo! Labs, Santa Clara, USA"
Barbara Caci,"Dipartimento di Psicologia, Università degli Studi di Palermo, Palermo, Italy"
Maurizio Cardaci,"Dipartimento di Psicologia, Università degli Studi di Palermo, Palermo, Italy"
Marco Elio Tabacchi,"Centro Interdipartimentale Tecnologie della Conoscenza, Università degli Studi di Palermo, Palermo, Italy"
Walter Quattrociocchi,"University of Siena, Siena, Italy"
Eugenia Galeota,"Department of Biology, University of Rome Tor Vergata, Rome, Italy"
Juan Antonio Navarro Pérez,"Technische Universität München, Munich, Germany"
